AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,215,1087,0.0
6970,-1670,2266,6008,-787,7227,2192,578,6862,-651,1694,3086,898,-1478,6426,238,160,416,5.07,455,2306,0.1
6486,-3464,-694,6727,2114,3907,2740,152,7034,-836,2472,756,1008,-1286,5680,146,195,193,5.07,254,1289,0.1
5192,-4630,-1914,9095,3954,2226,3072,1218,7552,-1575,2321,849,1132,-1080,5092,97,226,92,5.05,499,2519,0.1
3052,-4070,-1446,9713,3189,237,2680,2336,6676,-5434,2042,1006,1298,-932,5124,32,244,-203,5.09,411,2091,0.2
3068,-6236,-1688,10448,3856,-746,3074,1396,5924,-7789,2228,1110,1096,-934,5138,33,216,-414,5.09,337,1718,0.2
1680,-4952,-4108,10711,4751,-1483,3978,-1724,5284,-8532,2142,927,948,-940,4742,55,224,-624,5.09,411,2091,0.2
-116,-2752,-5140,8712,5673,-2369,4862,-3026,5104,-6441,2271,855,1066,-462,4474,94,111,-852,5.08,567,2882,0.3
-2164,-656,-2370,7659,4642,-2018,3674,-3862,6696,-4667,2144,709,1062,-52,4394,117,141,-1013,5.05,626,3162,0.3
-1624,2478,3916,5336,1039,-3363,1934,-1126,10768,-3960,1373,693,1114,434,4918,139,-48,-1006,5.05,469,2371,0.4
-42,-54,4088,5079,468,-4247,3064,132,11516,-6072,713,530,1004,446,5890,115,-149,-808,5.08,367,1863,0.4
596,502,3386,5751,4,-4287,4742,-1638,10188,-6695,85,216,840,438,6270,57,-311,-473,5.10,347,1771,0.4
2738,6660,2430,3431,-1228,-3195,6238,-1762,10048,-6399,-1015,1476,334,304,8160,-48,-388,207,5.05,440,2223,0.5
4982,8500,4456,630,-2397,-3245,6298,-4338,10104,-5976,-1797,1166,506,36,10608,-141,-479,446,5.06,342,1732,0.5
7516,4166,6764,-1649,-2224,-2750,9202,-6270,7566,-4650,-2511,1535,610,98,12610,-220,-237,54,5.05,362,1828,0.5
10756,4806,7862,-4175,-334,-2986,9424,-7054,6518,-4152,-2219,868,384,-280,12368,-232,-156,-273,5.06,362,1831,0.6
9148,4688,7398,-5551,-1222,-3269,10298,-8480,4536,-3220,-2075,531,-512,-442,10924,-321,-147,-323,5.08,337,1714,0.6
10388,4372,9104,-7579,576,-2787,7832,-7314,4332,361,-1608,-189,-214,-372,9626,-520,29,164,5.04,518,2613,0.7
8500,4988,7570,-9992,1585,-1566,7064,-5396,4464,212,-776,-403,940,-566,9454,-575,-3,181,5.06,381,1930,0.7
9848,-930,8678,-13071,1325,-4475,7912,-4962,4054,142,-831,-856,1496,-896,8320,-513,-39,-402,5.09,420,2141,0.7
6554,-9704,9728,-10701,3549,-5688,7476,-3790,2320,-104,-692,-1172,734,-742,7462,-484,92,-812,5.04,538,2712,0.8
5656,-11566,12198,-4720,1893,-4822,6582,-4022,230,-5,5,-1353,400,-514,7198,-471,91,-1091,5.05,479,2421,0.8
4122,-9692,15708,1213,-948,-3814,4928,-5210,-1408,1656,2362,-1415,432,-140,5712,-477,315,-1075,5.09,415,2116,0.9
1558,-4942,17812,2541,-2109,-3124,4032,-4818,-1648,3199,3600,-1547,526,216,5274,-411,265,-792,5.06,386,1955,0.9
1748,-2700,18410,2389,-3633,-2509,2498,-4596,-38,4403,3863,-2059,456,348,5092,-387,270,-501,5.04,538,2712,0.9
-312,376,15698,1527,-4710,-2481,828,-5146,4184,6794,1272,-2221,752,1050,4954,-277,149,-102,5.06,538,2722,1.0
-304,-2018,13566,1892,-5561,-2602,-32,-3154,4280,6391,-219,-2362,872,1352,4758,-181,-28,116,5.04,298,1504,1.0
-1578,-1116,12392,3910,-7010,-1088,-816,-1916,4206,4708,-2168,-2635,756,464,4622,-85,-80,491,5.09,543,2763,1.1
-998,674,13122,2930,-7574,26,1162,-1706,-224,5727,-2031,-2760,1000,-446,5282,-171,-232,885,5.06,269,1361,1.1
196,1290,12974,896,-7394,462,1874,-1954,-1402,5485,-1857,-2510,1456,-1004,5574,-229,-225,1133,5.09,459,2340,1.1
730,104,11034,-2301,-6193,489,3592,-1870,1126,5522,-1331,-1831,1988,-1930,7884,-229,-270,837,5.05,279,1408,1.2
1362,-116,10666,-2469,-6248,1352,4216,-448,1254,7095,-1076,-754,1696,-2188,8634,-162,-219,524,5.09,543,2763,1.2
2318,1126,10284,-2014,-6249,2186,5032,826,2550,8033,-765,105,1204,-2216,8940,-78,-210,201,5.06,269,1361,1.2
4878,3070,9810,-2190,-5698,3513,5722,1840,1238,9654,-886,1266,182,-1996,8758,39,-68,-50,5.09,543,2763,1.3
7250,2422,8838,-2802,-4782,3771,6732,7264,3902,6975,-302,3020,-86,-1504,10032,72,-121,-121,5.05,259,1309,1.3
