AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-1748,-816,8492,-543,54,-13,-38,90,8254,371,423,322,-1568,-498,8448,-251,26,281,5.05,235,1186,0.0
-1812,-890,8962,-713,323,88,88,-190,9110,369,528,349,-1902,-420,9356,-212,105,239,5.09,293,1494,0.0
-1724,-1244,9540,-751,527,228,408,-204,9958,295,451,346,-1962,124,9516,-153,191,169,5.05,538,2717,0.1
-1850,-1402,9910,-646,590,277,332,-288,10256,341,468,331,-1812,204,8834,-145,212,165,5.08,479,2435,0.1
-1924,-1596,10296,-489,555,334,188,-306,10368,596,382,426,-1810,136,8158,-157,208,245,5.05,347,1754,0.2
-1922,-1664,10724,-93,277,293,304,-102,10574,889,118,369,-1572,-230,7462,-218,219,440,5.04,499,2515,0.2
-2074,-1604,10750,53,34,247,236,-82,10606,1034,-125,349,-1338,-436,7118,-247,190,467,5.04,523,2638,0.2
-1902,-1568,10232,206,-486,162,132,58,9964,975,-481,393,-1028,-668,6984,-283,128,391,5.05,538,2717,0.3
-1926,-1674,9680,333,-725,106,6,-20,9404,784,-634,432,-1024,-644,7004,-277,80,321,5.09,298,1518,0.3
-1754,-1570,8792,455,-1006,94,-26,56,8246,322,-888,460,-1130,-608,6824,-261,19,154,5.08,239,1217,0.4
-1656,-1500,8318,435,-1071,69,32,-22,7800,107,-979,439,-1212,-576,6586,-260,39,77,5.04,469,2367,0.4
-1576,-1366,7820,396,-1171,92,254,-178,7174,-252,-1016,379,-1370,-638,6498,-285,82,-2,5.08,499,2534,0.4
-1464,-1358,7624,459,-1154,153,286,-388,6846,-334,-977,327,-1346,-608,6536,-299,114,-74,5.09,337,1718,0.5
-1336,-1262,7140,617,-990,200,510,-408,6372,-309,-740,246,-1526,-284,6986,-226,182,-276,5.09,420,2141,0.5
-1396,-1170,6924,761,-905,255,602,-372,6182,-225,-636,125,-1626,-286,6842,-161,245,-390,5.09,337,1718,0.5
-1150,-1088,7124,849,-765,302,554,-424,6134,-80,-546,-2,-1630,-348,7210,-115,253,-442,5.08,479,2435,0.6
-892,-702,7492,789,-334,208,724,-192,6128,189,-264,-126,-1690,-388,7394,-90,267,-408,5.04,479,2416,0.6
-934,-562,7634,700,-139,175,600,-266,6172,348,-123,-148,-1760,-550,7380,-101,301,-351,5.09,269,1369,0.6
-886,-236,8070,507,111,145,504,-394,6318,667,142,-203,-1626,-418,7930,-108,277,-240,5.06,518,2623,0.7
-838,-26,8334,282,248,122,376,-516,6220,824,307,-151,-1516,-178,8498,-83,214,-196,5.04,484,2441,0.7
-942,-2,8406,-205,588,-21,126,-122,6456,1086,668,-200,-1480,396,9468,-3,132,-148,5.07,279,1413,0.8
-898,-222,8728,-522,792,-39,430,178,6988,1014,782,-204,-1480,496,9176,19,99,-51,5.09,293,1494,0.8
