AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6250,3798,-1518,3315,-2055,3773,-1656,-12444,-434,-3528,3069,-12425,-2074,1208,5382,930,994,-8733,5.08,479,2435,0.0
-6140,2626,-588,2600,-2176,3400,-1534,-12628,1146,-3945,2002,-13703,-1856,394,4830,881,1094,-8258,5.08,494,2509,0.1
-5652,1882,-258,3138,-2694,3088,-900,-13670,2184,-3666,1109,-14486,-956,176,5536,771,895,-7850,5.08,303,1540,0.1
-7524,2000,-328,5034,-2263,2736,440,-13282,2660,-4504,-510,-15700,-126,-1780,8936,410,-45,-7024,5.04,323,1627,0.1
-8664,2864,-600,5635,-2387,2192,1804,-11374,3680,-5339,-1358,-15883,280,-3802,11446,16,-721,-6452,5.05,425,2149,0.2
-7662,3434,-576,5676,-3203,1123,2202,-8732,3482,-5725,-1660,-15631,730,-3268,10486,-234,-914,-6281,5.06,391,1980,0.2
-5480,3472,326,5575,-3778,7,1744,-6260,3424,-5610,-1871,-15411,48,-1360,9988,-241,-348,-7048,5.09,308,1568,0.2
-5082,4032,402,5349,-4145,-1008,1638,-4410,3602,-5517,-3386,-14790,-780,-744,8814,-236,87,-7221,5.08,303,1540,0.3
-5038,4848,956,4447,-4021,-2111,2352,-1820,2882,-5590,-4671,-13976,-824,-706,7878,-265,326,-7066,5.06,313,1584,0.3
-6012,4312,1532,1139,147,-2866,4244,1484,1362,-6862,-5674,-11406,-1266,-1014,6354,-506,-64,-5943,5.09,298,1518,0.3
-6812,4348,1756,81,-405,-3622,5118,2116,158,-7532,-5225,-9877,-1242,-1244,5664,-759,-62,-5149,5.09,352,1792,0.3
-6436,4272,1474,-745,-439,-4026,5482,2926,-1554,-8400,-3966,-8244,-1076,-1388,6012,-1054,-133,-4631,5.04,332,1676,0.4
-6668,3658,572,-891,-454,-4729,4440,2718,-2206,-9694,-2684,-5133,-686,-1278,7188,-1352,86,-4369,5.05,479,2421,0.4
-7118,3628,526,-588,-320,-5084,4234,3308,-2150,-10041,-2193,-3083,-548,-1296,7658,-1302,110,-4565,5.06,528,2673,0.5
-7740,3600,526,-222,-286,-5386,3452,3094,-2162,-10354,-1261,-1203,-554,-1126,8158,-1146,188,-4847,5.06,318,1609,0.5
-8232,3578,914,260,89,-5684,4732,4102,-2924,-11865,7056,593,-874,-964,7802,-959,250,-5070,5.05,528,2668,0.5
-9354,3534,1584,962,676,-6254,570,4870,-2330,-11421,1164,4059,-1108,-76,7066,-645,284,-5166,5.08,298,1515,0.6
-9180,3308,1332,1036,1430,-6185,-9282,4800,-3232,-10367,-3826,5040,-1098,-12,6560,-532,307,-5136,5.08,303,1540,0.6
-9682,2934,852,2571,3310,-5279,-666,2566,-1502,-9868,4801,10763,-958,-236,5868,-478,395,-4869,5.05,445,2248,0.6
-9338,3054,794,3446,2519,-5119,-3200,2334,-1174,-8727,1074,11283,-698,-394,5630,-490,524,-4631,5.05,474,2396,0.7
-8526,3226,598,4485,1749,-4993,-2078,1550,-530,-8086,-1475,11763,-484,-618,5664,-520,594,-4418,5.08,381,1938,0.7
-8180,3848,424,5268,445,-4471,-2964,-4,-146,-4785,-3317,14940,-658,-1144,5658,-635,726,-4158,5.09,259,1319,0.7
-7774,3882,404,5755,-197,-3882,-2566,-1040,246,-1893,-5890,16422,-542,-1626,5700,-703,759,-4097,5.07,269,1364,0.7
-7124,4080,452,5910,-772,-3627,-560,-1534,900,-988,-633,16462,-470,-1900,5758,-793,874,-4180,5.05,523,2643,0.8
-7306,4774,-350,6266,-668,-3258,-936,-2744,2420,3673,365,17472,754,-1864,7528,-969,852,-4379,5.05,474,2396,0.8
-8898,4706,-1062,6509,-468,-3027,6,-3248,3342,4791,-124,18017,1456,-484,9472,-1013,725,-4430,5.04,371,1874,0.9
-10204,4598,-1376,6925,-201,-2587,158,-8110,2684,1115,168,18360,1208,916,11418,-953,591,-4360,5.06,430,2178,0.9
-11778,5196,-1224,7221,-215,-2036,-2804,-28984,-86,-5409,6121,13116,-14,1740,9824,-896,467,-3741,5.05,518,2618,1.0
-10924,5274,-1038,7191,-854,-1855,-10066,-32768,-1430,-5070,9465,7727,-166,2190,9992,-683,35,-2897,5.09,298,1518,1.0
-9798,4698,-912,7385,-1066,-1105,-13942,-32768,-3574,-6342,11692,3007,-1070,1284,8970,-349,-267,-2360,5.09,274,1394,1.0
-9700,4832,-182,7284,-1793,-200,-1982,-32768,2234,-282,137,-5549,-106,-366,8650,242,-949,-1932,5.09,303,1543,1.0
-8826,4438,106,6921,-1880,151,7818,-26552,1216,2346,-3179,-6753,190,-1878,8718,290,-947,-1764,5.09,303,1543,1.1
-8706,4354,274,6576,-1918,317,11538,-18400,-220,1899,123,-8169,382,-2218,7530,54,-779,-1562,5.06,518,2623,1.1
-8072,4680,-128,5502,-1544,481,2394,-14808,602,-876,-1624,-10297,-106,-698,6566,-334,-619,-1518,5.04,455,2293,1.2
-8024,4906,-538,4691,-1433,588,3314,-12630,2136,16,-7019,-11274,-480,-244,7466,-349,-615,-1438,5.06,298,1510,1.2
-7260,4976,-954,3992,-1824,674,4762,-9854,2764,2897,-6691,-10894,-638,426,7410,-257,-336,-1298,5.06,459,2326,1.2
-6914,5274,-940,2927,-3136,109,1772,-3040,1584,4038,609,-9967,288,270,7252,10,-241,-1074,5.09,259,1319,1.2
-7072,4994,-658,2082,-3532,-472,78,396,20,3703,713,-9653,304,-316,7130,128,-94,-966,5.09,279,1419,1.3
-7460,4202,-740,908,-3276,-915,938,6612,-1484,2034,727,-6528,4,-892,6658,178,206,-911,5.05,503,2544,1.3
-6872,3792,-610,556,-2476,-1075,642,5780,-1300,1507,477,-5730,-38,-786,6392,186,330,-903,5.05,518,2618,1.4
-6536,3552,-272,272,-1292,-1073,526,7636,292,2861,158,-3819,-58,-602,5886,215,462,-837,5.05,415,2100,1.4
-6040,3570,498,506,-73,-850,-804,13334,-152,4179,1958,1215,-168,-436,4888,316,710,-520,5.05,479,2421,1.4
