AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-12702,5066,-22,1867,1,-1162,-8448,2566,-414,5051,-350,-293,7004,-1884,4662,-535,357,-1702,5.10,293,1496,0.0
-9446,5742,566,669,-858,-2680,-8764,1506,-998,5647,-1822,-1213,6646,-1978,4516,-546,705,-1785,5.09,239,1220,0.0
-9258,4964,1366,-367,-1283,-3360,-9006,1378,-1078,5801,-2394,-2177,6656,-1942,4572,-567,918,-1796,5.08,313,1590,0.1
-10010,3358,866,-1741,-538,-3856,-9224,1380,-1434,5726,-2558,-3090,6678,-1996,4844,-592,1235,-1910,5.04,538,2712,0.1
-9856,1996,-458,-1804,-330,-3787,-9376,1182,-1592,5770,-2724,-3734,6416,-2016,4616,-643,1523,-2034,5.09,288,1469,0.1
-9956,1280,-952,-1800,-119,-3750,-9708,542,-1468,5686,-2490,-4324,6338,-2034,4940,-720,1591,-2145,5.04,508,2564,0.2
-10566,636,-1010,-1720,-214,-3653,-11026,-242,-1600,5376,-2893,-5129,6320,-1752,5670,-876,1862,-2267,5.05,518,2618,0.3
-10768,562,-1288,-1730,-397,-3568,-11302,-704,-1290,4695,-2939,-5455,6464,-1676,5870,-935,2003,-2329,5.05,489,2470,0.3
-10536,354,-1838,-1293,-624,-3371,-11846,-2312,-1076,4146,-3269,-5892,7094,-1556,6988,-939,1971,-2488,5.08,293,1491,0.3
-10428,-316,-2820,22,-717,-3033,-13072,-3468,-1484,3918,-3693,-6463,7446,-2090,7940,-908,1889,-2854,5.07,298,1513,0.3
-10334,770,-1928,2291,-1022,-2354,-14596,-4980,-1222,4789,-4089,-7025,6784,-3134,8244,-966,1570,-3528,5.04,523,2638,0.4
-10854,1176,-1564,3211,-1276,-1951,-14824,-4914,-1102,5403,-4362,-6987,5696,-2496,8102,-1008,1340,-4025,5.06,479,2425,0.4
-10530,1114,-1538,4193,-1303,-1574,-14954,-5030,-1428,5364,-4542,-7245,3962,-1864,7230,-1028,1197,-4489,5.04,415,2095,0.5
-9194,1478,-1422,4911,-1383,-1250,-14474,-4912,-1950,4615,-4617,-7949,2144,-1390,6408,-1034,1141,-4808,5.08,298,1515,0.5
-7344,760,-1164,6183,-1767,-1009,-13682,-5670,-2114,3590,-4499,-9360,240,-678,5778,-1027,1275,-4960,5.08,411,2087,0.5
-7178,1316,-802,6490,-1925,-775,-13206,-5692,-1796,3124,-4054,-10052,-258,-488,6014,-1009,1392,-4883,5.04,455,2293,0.6
-7376,1592,-412,6401,-2044,-804,-13114,-5892,-1648,2536,-3674,-10656,36,148,6622,-960,1489,-4710,5.06,337,1708,0.6
-7866,2066,-946,6264,-1390,-883,-12742,-7002,-1754,1220,-3000,-12165,2272,590,10340,-798,971,-4328,5.09,259,1319,0.6
-8228,1832,-1588,6345,-1287,-903,-12376,-8426,-1772,600,-2820,-12817,2196,-704,10712,-852,612,-4204,5.04,538,2712,0.7
-8552,2016,-1970,6417,-952,-924,-12014,-8476,-1434,864,-3195,-13063,1880,-2042,8880,-1014,466,-4264,5.04,518,2613,0.7
-8760,2346,-1098,5693,-1479,-941,-9884,-8718,-1732,552,-2940,-12935,340,-2100,6764,-1267,687,-4669,5.07,411,2083,0.8
-8294,2308,-1160,5410,-2045,-1087,-8876,-8676,-1868,-20,-2731,-13799,240,-1858,6500,-1346,940,-4919,5.09,303,1543,0.8
-7414,2126,-1164,5316,-2290,-1088,-7460,-8406,-1638,-288,-2468,-14209,-46,-1536,5768,-1382,1131,-5129,5.09,308,1568,0.8
-6920,2064,-930,5411,-2705,-1014,-6692,-8104,-2290,-655,-2588,-14578,82,-1402,6060,-1396,1167,-5347,5.05,376,1902,0.8
-6302,2088,-374,5249,-2799,-1186,-4848,-8232,-1752,-1293,-2683,-14509,-302,-886,5038,-1367,1568,-5714,5.09,293,1494,0.9
-6058,2046,310,4822,-2234,-1203,-3974,-7074,-674,-1728,-2613,-14368,-380,-440,4948,-1335,1721,-5925,5.08,440,2236,0.9
-6246,1878,296,4692,-1890,-1174,-3494,-7054,-12,-2019,-2616,-13963,-636,26,4834,-1245,1955,-6088,5.04,494,2490,0.9
-6538,1784,-374,5212,-1906,-878,-2368,-7350,-284,-2648,-2407,-13762,-870,522,5328,-1098,2177,-6155,5.05,508,2569,1.0
-6388,1702,-432,5591,-2086,-583,-1788,-5874,-652,-4405,-2587,-13436,-770,516,5240,-1071,2272,-6062,5.08,367,1863,1.0
-6270,1694,-566,5930,-2326,-351,-732,-4546,-1612,-6405,-2061,-13095,-490,516,5764,-1066,2219,-6020,5.04,518,2613,1.1
-6014,1638,-652,6095,-2415,-144,708,-4464,-2862,-8501,-1663,-13006,-318,674,6538,-1036,2183,-5916,5.06,484,2450,1.1
-6082,1858,-788,6074,-2173,225,1592,-5658,-3002,-10217,-487,-12597,-954,1262,5702,-933,2352,-5923,5.06,381,1930,1.1
-6636,2148,-920,5985,-1977,416,1612,-5402,-3018,-11267,-1093,-12860,-186,864,7926,-846,2109,-6062,5.08,269,1366,1.2
-6882,2504,-868,5716,-1752,543,2330,-4330,-2842,-12570,-559,-12681,-32,912,7970,-716,2114,-6206,5.09,298,1518,1.2
-7192,2802,-1002,5327,-1688,667,3448,-2712,-5132,-16050,866,-11663,-812,1040,7412,-400,1928,-6453,5.06,415,2104,1.2
-7228,2904,-668,5014,-1923,596,3682,-4074,-4674,-16313,1567,-11451,-1014,1232,7438,-190,1859,-6647,5.04,518,2613,1.3
-7204,2820,-306,4735,-2159,455,4290,-4450,-3664,-15391,4280,-11315,-942,1608,6472,33,1946,-6991,5.08,479,2435,1.3
-6390,2530,366,4372,-2262,234,3364,-3306,-2620,-14771,5257,-10958,-532,2160,6434,526,2061,-7646,5.06,450,2277,1.4
-5602,2462,702,4220,-2379,152,6920,-1038,-1780,-17545,11020,-11391,-576,2188,5852,816,2090,-7951,5.08,391,1988,1.4
-4878,2450,1106,4027,-2316,87,-4320,-5494,-1780,-14972,240,-6730,-510,1916,5384,1035,2008,-8192,5.05,303,1531,1.4
-4022,2238,1498,3692,-2208,167,1340,-2608,1208,-8988,10601,-4641,-850,936,3686,1162,1717,-8154,5.05,308,1556,1.5
-4276,2176,1380,3564,-1851,-16,1582,-1414,566,-8745,2812,-5305,-1248,26,5910,1002,1193,-7637,5.07,494,2504,1.5
-5678,1668,1082,3816,-1394,-120,1514,-5716,950,-7526,-1803,-5626,-2126,-2320,4112,523,754,-6955,5.05,445,2248,1.5
-7332,2154,754,4301,-1316,-662,3224,-1674,3504,-2718,-11249,-1382,-1808,-3176,9004,-672,-381,-5539,5.05,357,1803,1.6
-8158,1966,12,4894,-1225,-913,6448,-1402,2066,-2480,-9436,-1287,-1100,-974,11686,-879,-788,-5205,5.03,596,3002,1.6
-9002,2328,-608,5747,-1231,-1210,8970,-924,1724,-3245,-4526,-957,-1466,942,13126,-715,-998,-5276,5.07,352,1785,1.6
-9220,3112,-894,6948,-2067,-1964,6270,-1960,850,-1111,1877,868,-1670,634,11610,-324,-800,-5724,5.05,303,1531,1.7
-8784,3294,-594,7200,-2127,-2495,5966,1360,862,-475,-1668,-393,-1128,-22,8696,-399,-723,-5633,5.07,337,1711,1.7
-8160,3374,54,7500,-2507,-2705,8218,1746,396,-632,-1938,65,-1422,-510,7220,-569,-627,-5240,5.06,455,2302,1.7
-7316,3364,916,7500,-2724,-2911,7386,1696,52,310,-3113,1328,-1816,-458,6224,-902,-603,-4282,5.09,401,2041,1.8
-7036,3450,976,7124,-2172,-3114,8328,3042,-574,-687,463,1136,-1604,-240,7038,-1063,-693,-3865,5.05,283,1433,1.8
-7438,3522,1162,6141,-1098,-3299,5414,2762,240,-499,-449,1890,-996,864,7478,-957,-844,-3948,5.09,494,2514,1.9
-7908,3614,958,5643,-913,-3316,5676,2736,80,-728,564,2624,-714,1098,7472,-707,-888,-4271,5.08,489,2484,1.9
-8140,4024,776,5056,-908,-3300,4576,2072,154,-517,551,3621,-896,914,7458,-429,-988,-4713,5.08,494,2509,1.9
-8508,4288,604,3503,-1066,-3440,4124,1994,-192,-1148,1101,4174,-1312,146,6430,34,-965,-5399,5.09,474,2415,2.0
-8668,4052,572,2692,-879,-3573,3596,2488,-114,-1806,2069,4971,-1180,-300,6920,195,-1105,-5624,5.08,415,2112,2.0
-8512,3702,648,2066,-404,-3479,2922,2538,94,-2608,2513,5787,-1458,-690,6672,274,-1010,-5718,5.08,298,1515,2.0
-8512,3216,712,1677,-17,-3118,2302,2216,-62,-3291,1346,7550,-1204,-880,6992,313,-1130,-5570,5.05,518,2618,2.1
-8478,2906,832,1626,120,-2941,2150,1924,-208,-3579,1267,8341,-1222,-886,6772,299,-1097,-5423,5.08,259,1317,2.1
-8126,2224,814,2061,259,-2429,1248,1328,-52,-3670,1197,9852,-842,-98,7030,224,-992,-5181,5.06,303,1534,2.2
-7918,2168,816,2439,19,-2153,670,818,168,-3391,1131,10673,-840,472,6872,237,-1034,-5102,5.06,381,1930,2.2
-7546,2126,894,2697,-232,-1926,212,338,322,-2930,809,11416,-1150,454,4900,291,-1072,-4984,5.04,411,2071,2.2
-6826,2032,1390,3058,-621,-1482,-360,-326,542,-2155,443,12769,-1568,272,4066,463,-970,-4653,5.08,239,1217,2.2
-6340,2036,1484,3164,-898,-1408,-910,-502,390,-2115,391,13421,-1188,20,4024,528,-1102,-4525,5.09,259,1319,2.3
-5468,1788,1222,3487,-1159,-1282,-1518,-638,40,-1749,633,14429,-862,-68,3558,545,-1077,-4382,5.08,357,1814,2.3
-5222,1902,996,3708,-1228,-1229,-1934,-390,-408,-1575,1010,14940,-442,-8,4044,535,-1129,-4334,5.07,337,1711,2.3
-4848,2064,770,3864,-1302,-1217,-2710,-376,-1064,-1748,1676,15290,-400,276,3314,505,-1090,-4399,5.04,435,2194,2.4
-4630,2382,842,3752,-1540,-1248,-4388,-742,-1480,-2095,2189,16037,1248,240,4038,367,-1159,-4177,5.08,259,1317,2.4
-4814,2432,898,3548,-1559,-1413,-5120,-824,-1262,-2063,2346,16841,2052,1052,5872,267,-1321,-3714,5.08,259,1317,2.4
-5752,2210,834,3454,-1361,-1642,-6726,-760,-1630,-2359,3053,18001,3466,3328,8386,183,-1626,-3184,5.05,445,2248,2.4
-7582,2230,254,3875,-390,-2118,-14038,460,-2942,-6026,5336,21424,2056,6426,10528,179,-921,-2626,5.04,523,2638,2.5
-9166,2516,622,4097,-189,-2376,-24344,-264,-4634,-8741,7800,24113,1908,5290,10822,66,-1596,-1817,5.04,518,2613,2.5
-10182,2790,1838,4131,-661,-2794,-32768,-3620,-7180,-9724,12670,25798,370,4632,8338,161,-1547,-764,5.09,269,1369,2.6
-11632,2802,3216,4116,-1489,-3378,-32768,-32768,-1480,3461,5861,23243,1252,3462,7472,376,-1019,196,5.09,259,1319,2.6
-10864,2928,3590,4135,-2074,-3282,-21238,-14970,-21740,3828,-679,19985,2642,2434,9076,527,-861,574,5.08,298,1515,2.6
-9808,3152,4024,3580,-2090,-3317,-8614,-6708,-8068,7024,-9293,8961,5040,1934,10848,617,-667,489,5.06,279,1411,2.6
-7644,2452,3790,2767,-1244,-2851,140,-21232,3792,333,-8695,2974,6990,2688,11774,507,-1029,-269,5.05,430,2174,2.7
-7622,1852,3592,1352,1779,-1549,-11430,1244,-1314,4749,3122,3461,4870,3524,10288,274,-1413,-813,5.09,298,1518,2.7
