AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
2088,2686,2144,1060,6108,525,6314,-2340,9446,1329,4387,2370,-1084,316,7330,181,-288,1225,5.06,283,1435,0.0
2064,2316,1166,1566,5852,362,7110,-2888,10206,-1022,4170,2021,-1386,198,6340,40,-463,1427,5.08,259,1317,0.0
1606,1938,800,1491,4961,95,6444,-4494,9412,-1765,4654,2079,-1512,78,6026,-49,-479,1553,5.04,376,1898,0.1
1550,1320,1020,208,3624,-679,6612,-5108,8848,-1612,4261,1707,-1400,-286,5698,-228,-482,1811,5.06,513,2599,0.1
1598,620,972,-478,2860,-877,6292,-4928,8612,-1083,3649,1104,-1096,-672,5576,-375,-468,1920,5.07,293,1488,0.1
2128,-604,1900,-593,1056,-507,5674,-3414,8554,-1572,2313,761,-618,-1386,5934,-611,-488,1968,5.08,352,1789,0.2
2848,-1518,3236,-545,47,-401,5764,-2726,8876,-2326,1226,627,-374,-1652,6282,-709,-589,1853,5.09,415,2116,0.2
3324,-1610,5062,-483,-725,-277,5918,-3524,9402,-3046,416,352,-150,-1904,6396,-764,-672,1648,5.06,264,1336,0.2
4482,-918,7150,-759,-1928,33,5568,-4614,8926,-3144,-569,0,-198,-2170,6918,-825,-781,1120,5.09,342,1742,0.3
5490,404,7856,-1281,-2800,298,5094,-5510,7868,-2848,-831,195,-390,-2640,7230,-830,-760,801,5.05,391,1976,0.3
7660,872,9798,-2096,-4256,392,7058,-5794,3018,-1183,-433,384,-606,-3600,7316,-761,-630,18,5.07,337,1711,0.3
7958,1626,10922,-2466,-4240,367,5692,-5668,2014,-222,-173,128,-776,-3708,7682,-676,-608,-445,5.09,323,1643,0.4
7386,1132,12146,-2711,-3399,543,3936,-5450,2302,595,-521,-141,-836,-3632,8002,-633,-444,-749,5.08,420,2137,0.4
6120,1210,14192,-2779,-4102,499,3578,-4268,2676,680,-2137,-378,-1330,-2852,9490,-554,-279,-971,5.05,508,2569,0.5
5814,420,14880,-2398,-4669,88,3680,-4550,2604,512,-2826,-600,-1740,-2220,9812,-509,-120,-1104,5.06,508,2574,0.5
5394,-814,15038,-1339,-5729,-254,3896,-4276,2302,891,-3786,-996,-2084,-1374,9828,-461,-148,-1102,5.05,494,2495,0.5
5034,70,15208,-432,-7503,-447,5164,-4240,434,798,-3448,-1044,-2132,-928,8028,-334,0,-810,5.08,259,1317,0.6
4470,2030,15386,-1118,-7527,-851,3846,-3108,-326,220,-2343,-1421,-1764,-1178,6974,-280,166,-664,5.05,425,2149,0.6
3480,1588,15862,-1586,-7473,-1165,2944,-2204,-864,144,-2442,-2405,-1122,-1428,6776,-278,259,-588,5.07,269,1364,0.6
2742,1498,14268,-1380,-7245,-1459,3362,-1254,-1170,898,-6455,-2303,-94,-1948,6538,-266,249,-766,5.05,494,2495,0.7
2514,1614,12550,-1059,-7956,-1352,3592,-1642,-1388,-434,-6154,-1518,252,-2072,6704,-276,131,-992,5.05,464,2347,0.7
2182,2284,11512,-794,-8140,-1081,4250,-2554,-2296,-234,-5545,-1205,276,-1998,6750,-278,38,-1227,5.05,283,1433,0.7
4018,1288,9524,39,-8136,-552,4450,-2442,-2878,150,-4800,-1052,-204,-1504,5634,-189,2,-1457,5.07,279,1413,0.8
5406,988,8500,806,-6527,-265,6042,-1546,-2302,-212,-3728,-881,-540,-1068,5704,-101,1,-1524,5.08,445,2261,0.8
5948,180,8182,2649,-3151,621,5250,-2504,-1458,-390,-436,245,-1186,-8,5266,211,164,-1299,5.05,508,2569,0.9
6072,1172,8142,2770,-1738,771,5378,-3332,-1152,-448,835,-531,-1278,354,4356,361,305,-1084,5.04,337,1701,0.9
5302,940,7808,2142,-1114,250,5524,-5306,-182,1064,681,-2041,-1326,422,4304,411,436,-878,5.07,494,2504,0.9
6558,714,7588,1393,391,-207,5238,-6498,5628,6027,-1279,-1155,-1676,698,6370,423,574,-494,5.08,269,1366,0.9
5590,236,7884,3009,1537,174,1932,-6020,13500,6589,-26,-1547,-1802,830,8038,505,711,-238,5.08,513,2609,1.0
10798,3462,5820,4067,4427,730,2452,-4578,11996,5568,-1471,-2097,-1202,622,11216,626,548,202,5.05,494,2495,1.0
10730,1966,5532,4548,7982,7,6270,-2168,10768,4450,-2690,-1153,-1176,436,11312,661,368,346,5.09,430,2190,1.1
6336,3132,5874,3974,9831,-593,5888,1090,8688,2125,-1428,-405,-1530,124,10294,682,328,380,5.05,415,2100,1.1
3560,10508,2200,-767,10257,1549,6104,-324,7950,-3995,3454,-1303,-2226,-438,8952,539,366,306,5.08,279,1416,1.1
2928,12432,3482,-4605,7966,107,6248,-3664,7644,-4518,5779,-1522,-2152,-530,8318,433,469,337,5.08,528,2683,1.2
2700,5866,4334,-7252,8557,-1625,6394,-5622,7608,-3873,6901,629,-1732,-176,7920,349,458,331,5.07,332,1686,1.2
-348,-5832,5062,-2310,9156,-1313,6872,-6142,9202,-2024,5358,2131,-1282,674,7280,285,412,409,5.09,367,1867,1.2
-1224,-2222,4810,1257,6688,2,6766,-5074,9558,-1282,5231,2118,-1204,1286,7108,308,289,584,5.04,415,2095,1.3
1538,1484,3372,3014,6016,-631,6644,-1002,10480,-1808,5204,3026,-1232,1598,6550,383,77,1009,5.05,508,2569,1.3
3022,1430,2508,2925,5736,-1068,8000,1612,11296,-3150,4694,3814,-1292,1276,6452,349,-44,1293,5.05,391,1976,1.3
4250,880,954,2901,5807,-975,7706,-330,10198,-4940,4509,3112,-1016,782,5894,310,-166,1504,5.08,494,2509,1.4
3114,1948,-408,2763,5444,-573,6992,-5280,8374,-4544,4826,2140,-708,-484,5122,140,-291,1733,5.06,494,2500,1.4
4030,2824,-792,1639,4389,-652,7686,-5240,6980,-4113,4086,1698,-500,-606,5302,-10,-374,1706,5.09,327,1668,1.5
5930,1886,896,-756,3181,-1113,7934,-5638,5578,-1789,2406,1470,-154,-1316,5316,-158,-628,1646,5.06,508,2574,1.5
4418,1082,3528,-1728,2978,-1118,8504,-5638,5608,-472,1922,1136,52,-1920,5326,-235,-724,1484,5.05,425,2149,1.6
2336,1310,7106,-3193,2010,-1125,7702,-5220,6672,581,2070,653,74,-2526,5596,-269,-726,1165,5.08,327,1665,1.6
1448,-1900,12378,-5913,-866,-871,5566,-4608,6194,1424,646,-546,-154,-3792,6528,-278,-579,431,5.08,259,1317,1.6
2164,-4352,13920,-5884,-1930,-548,6554,-4340,5838,1603,-607,-1024,-242,-4476,7512,-325,-367,2,5.06,621,3143,1.6
3088,-5476,14608,-5204,-3339,-443,6642,-3398,5700,1221,-752,-993,-498,-4884,8688,-399,-379,-413,5.05,499,2519,1.7
4794,-2976,13310,-3677,-3454,-31,4114,-5286,5408,-41,-45,-1682,-1740,-4174,11110,-247,-153,-947,5.08,406,2062,1.7
4912,-326,12326,-3470,-3387,-280,2322,-5152,4958,-119,-344,-1980,-1978,-2912,12240,-26,-33,-1277,5.05,494,2495,1.8
4348,1132,12122,-4003,-3705,-755,1074,-4626,4212,-22,-2187,-2237,-1672,-1672,10480,110,-13,-1531,5.08,489,2484,1.8
4158,-1208,13232,-3838,-5786,-1444,3172,-2476,2146,-194,-5127,-2158,-2934,-892,8216,33,128,-1146,5.05,518,2618,1.9
4088,-1954,13574,-2616,-6834,-1695,4346,-2480,992,-618,-5461,-2120,-2586,-946,7190,49,310,-775,5.08,259,1317,1.9
4100,-1364,13524,-1514,-7323,-1557,2726,-2846,-174,-211,-6220,-2205,-1750,-1200,6504,27,427,-540,5.08,259,1317,1.9
3912,946,11802,-1730,-7402,-1787,4636,-2124,-136,-279,-2361,-3108,-746,-1502,5640,-143,490,-625,5.06,489,2475,2.0
3664,36,10186,-2027,-7777,-2013,3820,-3034,-80,259,-3464,-4030,-624,-1432,5664,-224,450,-855,5.06,401,2029,2.0
3906,-492,9234,-1943,-7913,-2122,4000,-2186,-618,817,-4432,-4685,-290,-1626,5886,-264,426,-1110,5.06,308,1559,2.0
2844,-1910,8388,-1148,-8001,-2097,5288,-1112,-952,1909,-5325,-2575,-118,-1674,5772,-283,225,-1537,5.09,362,1842,2.1
2664,-1700,8338,-781,-8081,-1948,4552,-358,-662,1106,-5241,-1708,-208,-1434,5936,-276,141,-1776,5.06,327,1658,2.1
3706,-938,8078,-1107,-8275,-1445,5200,182,-956,527,-3792,-921,-400,-748,5886,-208,194,-1937,5.09,303,1543,2.1
4546,-1186,7876,155,-4626,-872,4590,-346,-78,-612,-2751,183,-594,12,6106,-78,249,-1850,5.08,327,1665,2.2
4244,-1398,8386,934,-2902,-149,4912,-920,86,-1293,-2146,140,-1046,98,6520,-86,199,-1646,5.08,435,2211,2.2
4940,-1038,9164,920,-1402,122,6378,-2564,-644,-1631,-562,646,-1468,488,6850,-56,241,-1179,5.06,455,2302,2.2
5002,-712,9980,-399,-2417,-497,6516,-3172,-612,-1318,-156,914,-1778,614,6548,11,196,-959,5.09,357,1817,2.3
6722,-1296,10164,-650,-1752,-533,5890,-4204,448,-700,431,356,-2086,628,6646,76,249,-712,5.07,342,1736,2.3
6596,-474,9882,725,1517,-150,6956,-9704,5712,3679,-549,-1062,-2430,822,8536,180,430,-279,5.05,479,2421,2.3
5284,-1300,12274,2310,2152,-82,5748,-9200,14362,5377,-1088,-524,-2448,1258,9596,263,442,-172,5.08,254,1292,2.4
12132,-1524,7594,4960,3574,567,6068,-4082,9962,5076,-514,-1315,-2642,1494,9886,408,511,156,5.08,313,1590,2.4
11158,888,6484,3890,4622,729,6928,-3708,8002,4655,-1611,-884,-2430,1036,9058,472,610,401,5.06,533,2698,2.4
9120,1012,6458,3812,6316,705,7754,478,7360,3597,-1435,591,-2338,406,8702,488,615,612,5.09,288,1469,2.5
5098,2822,6288,2085,9949,782,6980,676,6224,-822,1540,448,-1876,-282,8150,376,805,809,5.06,367,1856,2.5
3148,4146,6168,478,8536,847,6270,-814,5510,-2772,3996,-272,-1482,-78,8028,302,831,816,5.08,435,2211,2.5
3198,3270,6128,-1194,10671,688,5082,-3950,5492,-2608,6035,823,-1052,302,8094,204,532,722,5.06,513,2599,2.6
1572,528,6180,-1649,10378,97,5530,-5178,5530,-1008,5107,2128,-1066,738,7566,210,343,719,5.08,298,1515,2.6
536,-2972,4580,1247,8935,-35,5866,-3960,6162,749,4123,2340,-1316,1260,6968,336,-18,902,5.07,264,1339,2.6
236,-598,3608,2592,8482,339,6408,-3110,6388,945,4834,2370,-1480,1014,6814,368,-164,1104,5.06,274,1386,2.7
196,1012,2562,2750,8093,54,6204,-1660,6602,641,6246,2835,-1706,654,6304,359,-229,1314,5.05,450,2272,2.7
