AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-1562,2160,17150,4238,6923,-629,-2596,-6434,7480,2063,-3864,531,-1256,200,5750,-516,-275,320,5.07,362,1835,0.0
838,2554,14418,2504,7283,-1312,-2788,-4426,5678,1669,-3766,-421,-1282,46,4964,-458,-502,678,5.07,469,2380,0.1
1350,3488,12448,1164,10388,-779,-3010,-4088,4286,1796,-4543,-624,-1202,-318,3960,-474,-465,960,5.09,254,1294,0.1
-4926,6936,13104,-2468,13920,-947,-2084,-3260,2278,1971,-5579,-1196,-1340,-682,3530,-564,-539,1301,5.08,474,2410,0.1
-7168,3998,12912,-3585,14635,174,-1920,-3008,1516,2012,-6330,-1849,-1090,-558,2910,-512,-473,1321,5.08,259,1317,0.2
-10112,-786,13530,-1238,12755,1396,-1312,-2794,684,1978,-5794,-2251,-1202,-734,3290,-344,-471,1276,5.05,288,1457,0.2
-13530,1292,14286,3111,5755,504,-1720,-2276,116,1793,-4826,-2618,-2098,-1634,5494,86,-412,1218,5.07,489,2480,0.2
-13924,3348,13790,2040,753,392,-1894,-1830,-798,1881,-5155,-2654,-1882,-2322,7646,201,-386,1080,5.04,376,1898,0.3
-12220,3796,13568,215,-2868,-12,-1140,-762,-2986,1386,-4832,-2624,-1544,-3204,9952,334,-314,918,5.08,445,2261,0.3
-9492,658,12862,-1462,-3955,120,-12,1728,-4792,-613,-2798,-2767,-1266,-4286,12638,643,-215,507,5.08,450,2286,0.4
-8110,228,13020,-860,-3104,711,1710,4032,-5822,-1401,-1506,-2475,-1736,-4208,11572,677,-163,224,5.07,420,2132,0.4
-9404,1230,13800,-1181,-3790,594,4152,4958,-5794,-2107,-1384,-2238,-2212,-3258,10270,596,-30,27,5.04,288,1455,0.4
-9184,2338,16374,-509,-3731,1214,6106,3864,-3432,-4497,-1197,-3402,-2780,-2522,8740,484,250,21,5.04,415,2095,0.5
-8814,4646,16648,-1515,-4418,1121,4354,1866,-2474,-5149,-2249,-4096,-2528,-2542,8152,356,427,98,5.06,308,1559,0.5
-7018,3522,15594,-1610,-2919,1055,3648,438,-684,-5159,-4021,-4319,-1742,-2128,7688,272,519,191,5.07,479,2430,0.5
-5898,1634,12392,-2227,-3680,-1493,4610,-754,1342,-4000,-6228,-2250,-760,-1536,7406,297,484,263,5.05,411,2075,0.6
-5614,782,10908,-1564,-3983,-1547,4846,-1456,3030,-3057,-5783,317,-584,-1390,6802,402,371,251,5.03,283,1427,0.6
