AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-24032,-136,-3432,4419,5814,-24817,-9018,-3268,1122,2315,2820,30,-722,-600,8324,-779,823,-3603,5.09,269,1369,0.0
-32768,-610,-6962,4010,11898,-26823,-7790,-2602,-108,2731,2129,-280,-786,852,7620,-745,1075,-4112,5.06,274,1386,0.0
-32768,5166,-10874,3364,14269,-28830,-7274,-2798,-584,3056,863,-647,-604,1128,7144,-840,1082,-4101,5.06,494,2500,0.1
-32768,16236,-13220,-193,15136,-23539,-7744,-3332,-550,3513,-1180,-1365,-366,2196,7554,-1209,699,-3619,5.08,494,2509,0.1
-32768,17190,-4856,908,4281,-20913,-8408,-4182,-176,4612,-1941,-1439,-798,3090,8302,-1614,340,-3000,5.08,464,2360,0.2
-25198,24768,-7686,5030,-5532,-11420,-8706,-4666,518,6353,-2180,-863,-1374,4506,8828,-1837,31,-2025,5.08,503,2559,0.2
-9204,24260,6214,-2240,-26605,-9851,-8472,-4982,678,7705,-1217,-303,-506,4192,9924,-1608,-206,-1081,5.04,303,1528,0.2
-9358,-12272,2872,2857,10240,-9690,-7790,-4756,154,9071,559,748,2100,-664,8284,-781,-715,-878,5.06,323,1633,0.3
-11442,-7606,1880,5064,3882,-1482,-8304,-4032,-512,9229,712,684,2916,-2750,5786,-708,-1086,-1443,5.07,391,1984,0.3
-11412,-3352,-244,6254,1696,4260,-8176,-3208,-1248,8749,826,737,1450,-2668,6238,-639,-1249,-2342,5.04,323,1627,0.3
-16230,4636,-172,5731,3693,6855,-8604,-1306,-1950,6795,308,945,-180,-2862,5618,-699,-701,-3646,5.06,494,2500,0.4
-18900,7206,6320,2832,-699,7486,-8122,-588,-2048,4683,1236,994,-1492,-3630,5286,-855,-130,-4443,5.06,376,1906,0.4
-16204,8006,3962,6093,758,8479,-7310,-138,-2578,2439,2324,846,-1416,-4240,5980,-1083,333,-4940,5.05,464,2347,0.4
-7746,12230,958,7677,-1334,3831,-5842,-114,-2852,-329,1507,-209,-416,-3150,7050,-1400,499,-5214,5.08,303,1540,0.5
-3596,8882,-1976,7394,300,-342,-5732,-736,-2534,-2139,-263,-850,566,-1674,7654,-1492,352,-5327,5.08,494,2509,0.5
-3730,8248,-4024,4457,3200,-4435,-5956,-2474,-1922,-3616,-1706,-2326,854,-580,7766,-1465,119,-5438,5.04,308,1553,0.5
-8130,3238,-3290,3474,2944,-4438,-6030,-6238,-1790,-4625,-3674,-5304,478,348,9326,-1112,-280,-5717,5.05,337,1704,0.6
-8874,2770,-2914,4028,-3875,-4096,-5902,-7524,-2102,-3587,-4182,-4896,-1310,1300,9240,-734,-48,-5950,5.04,288,1455,0.6
-8420,2104,-2246,4848,-6906,-3172,-6168,-9608,-2420,-1108,-4815,-3696,-1928,1574,9316,-373,28,-6191,5.02,415,2087,0.6
-5012,3186,-760,7609,-4601,-1817,-5648,-10110,-3066,1654,215,-197,-1394,1142,7608,-150,200,-6418,5.07,503,2554,0.7
-6842,4472,-704,7875,-4168,-1620,-6638,-9700,-3390,2857,2654,674,-962,218,6636,-276,149,-6282,5.05,313,1581,0.7
-8066,4410,-902,7790,-4637,-2106,-7582,-9092,-4302,3745,3839,319,-1112,-696,6488,-428,188,-5884,5.05,484,2445,0.8
-7502,3026,-2312,9646,-3864,-1310,-7492,-7790,-5310,4573,4771,-1571,-1024,-1216,7342,-747,320,-5971,5.09,459,2340,0.8
-6716,3614,-3132,11319,-2720,37,-7830,-7458,-5226,4311,4572,-2984,-768,-1000,7532,-872,467,-6252,5.05,415,2100,0.8
-6412,4418,-3638,12289,-3033,923,-8294,-7474,-4984,3473,3541,-4250,-862,-394,7590,-949,462,-6439,5.08,494,2509,0.9
-6118,4664,-2882,12168,-2619,844,-8342,-8268,-4558,1848,2848,-5873,-916,528,7604,-981,397,-6353,5.09,362,1842,0.9
-6192,4306,-2164,12060,-1362,1246,-8550,-8776,-4366,1199,2453,-6449,-1164,1010,7436,-960,486,-6165,5.08,508,2584,1.0
-6606,4144,-1754,11511,-593,1448,-8744,-9202,-4386,918,2097,-6937,-1302,1492,7348,-898,529,-5985,5.07,494,2504,1.0
-6974,4380,-1632,9475,348,1018,-8252,-9850,-5060,1333,3461,-7002,-1328,1932,7600,-742,698,-5828,5.07,489,2480,1.1
-7262,4706,-1690,8148,1201,1031,-8666,-10132,-5366,2557,4917,-6784,-910,1946,7746,-635,772,-5773,5.05,557,2816,1.1
-7512,5184,-1734,6655,1127,908,-8840,-10496,-5724,3680,6856,-6295,-686,1794,7452,-542,782,-5750,5.05,327,1655,1.1
-7650,6026,-1488,3862,578,509,-10158,-10824,-6814,3714,7093,-7348,-118,1394,7656,-276,733,-5656,5.05,357,1803,1.2
-7732,6242,-1226,2255,224,299,-10312,-10728,-7276,3526,6082,-8500,62,1064,7412,-135,685,-5760,5.08,494,2509,1.2
-7970,6304,-692,775,-40,322,-10412,-10778,-7318,3093,5111,-9646,68,658,6980,-29,632,-5929,5.07,352,1785,1.2
-7336,6286,464,-2429,-1559,-930,-9400,-10870,-6344,2544,4457,-10524,-622,138,6596,56,675,-6182,5.06,323,1633,1.3
-7580,5636,1334,-3612,717,-902,-8220,-11352,-6108,2215,4809,-10864,-1094,80,6502,76,675,-6129,5.08,406,2062,1.3
-8798,4934,2416,-4529,-1220,-931,-7548,-12450,-6532,1599,5228,-11191,-1222,60,6508,-4,709,-6038,5.07,435,2207,1.3
-7922,1566,3592,-2216,3305,2737,-7802,-13322,-8916,-1840,6699,-11933,-1060,-130,8634,-266,890,-5684,5.05,283,1433,1.4
-8666,1698,3524,-898,4722,2167,-7334,-13512,-11200,-4928,7857,-12895,-1036,-572,9598,-268,881,-5263,5.07,323,1637,1.4
-10544,2108,3608,-133,2963,1469,-5820,-14964,-13186,-7300,8340,-14580,-776,-1498,10042,-82,684,-4980,5.08,464,2360,1.4
-9316,1454,3094,2650,1002,259,-3860,-21612,-15892,-6045,9451,-16098,-1324,-3056,7952,-190,891,-5660,5.05,425,2149,1.5
-9638,1296,2390,5093,2793,307,-5018,-22014,-14630,-3111,10997,-15346,-1338,-3210,6286,-523,867,-5984,5.04,596,3008,1.5
-10308,1840,1740,5256,-2393,70,-6130,-20492,-14056,-144,11600,-15181,-1762,-2854,6274,-788,899,-6047,5.05,303,1531,1.5
-7872,2076,1214,5846,-3318,-531,-7372,-17380,-12452,1740,11511,-15199,-2414,-2208,6742,-886,1134,-5825,5.05,293,1482,1.6
-6552,2116,404,7589,-923,-1548,-9580,-11608,-9014,2668,11021,-16133,-2318,-1726,7888,-912,1453,-5282,5.07,332,1686,1.6
-7636,1944,72,8692,-1143,-306,-10132,-9842,-6200,2780,10429,-16479,-1238,-1514,8170,-938,1541,-5235,5.06,371,1881,1.6
-7618,2692,-226,9197,-2228,481,-10426,-8592,-3154,3230,9500,-16110,-24,-1626,8840,-966,1583,-5304,5.08,455,2310,1.7
-7510,3828,-630,9239,-3778,673,-11306,-2596,1650,5641,7818,-14870,1224,-2284,8354,-1142,1317,-5288,5.05,396,2001,1.7
-6538,4556,-1076,8776,-3694,439,-10088,3762,3180,5589,6356,-13719,1226,-2600,8418,-1316,1035,-5426,5.05,371,1877,1.7
-5954,4764,-1704,8558,-2997,86,-8972,8506,3766,4163,4162,-12284,390,-2948,8314,-1474,752,-5827,5.05,337,1704,1.8
-5988,4776,-2002,8300,-1941,-346,5510,11468,5886,820,10272,-9417,-220,-2806,7212,-1512,516,-6178,5.05,396,2001,1.8
-7858,4824,-3612,8964,-3426,117,52,15370,2938,-7198,1248,-7675,-1104,-1734,6880,-1324,330,-6230,5.09,440,2240,1.8
-7274,4652,-4160,9018,-5531,700,222,10014,3880,-11494,15418,-1128,-1806,-1086,6154,-1038,321,-5940,5.05,499,2519,1.9
-6488,4710,-3918,8921,-6183,727,-396,6142,184,-7470,14018,3107,-1958,-966,6676,-787,299,-5641,5.05,435,2198,1.9
-6580,4242,-3506,8425,-6307,805,-3680,5400,-1772,-13040,240,-2029,-922,-636,6724,-335,228,-5235,5.06,494,2500,2.0
-6960,4174,-3164,8073,-5339,703,-2368,3538,-2626,-12467,-4295,-622,-730,-838,6808,-132,-31,-5121,5.03,523,2633,2.0
-7794,4106,-2976,7538,-5139,564,-1424,2520,-3094,-10633,-5432,2954,-650,-1386,7530,-7,-291,-4882,5.07,391,1984,2.0
-7432,3814,-3066,6401,-3531,66,-2306,2244,-3872,-8112,-4372,7738,-544,-1360,7890,74,-437,-4353,5.07,503,2554,2.1
-7492,3440,-3084,5975,-2260,43,-2660,1834,-3454,-7392,-2610,9080,-440,-1216,7664,143,-530,-4190,5.08,474,2410,2.1
-7522,3420,-3218,5539,-2262,23,-4094,1530,-3376,-6995,-1931,9495,-548,-1230,7362,288,-556,-4110,5.07,474,2405,2.2
-7186,3434,-3422,4449,-2096,-285,-5018,794,-3262,-5922,-3402,11199,-904,-1844,7260,471,-631,-3831,5.09,459,2340,2.2
-6918,3542,-3198,3777,-1636,-436,-5260,516,-3148,-5298,-3373,11984,-838,-2064,7112,441,-579,-3587,5.05,381,1927,2.3
-6986,3734,-2806,3003,-1368,-771,-5874,266,-2838,-4810,-87,12869,-692,-2064,6954,366,-553,-3346,5.07,362,1835,2.3
-6946,3970,-2066,1586,-1219,-1513,-8470,-3102,-4406,-5299,1022,15174,-480,-1910,6182,239,-364,-3200,5.05,283,1433,2.3
-6914,4048,-1610,866,-1139,-1900,-10346,-2216,-3868,-6480,730,15891,-328,-1752,5764,262,-220,-3182,5.07,489,2480,2.4
-7066,4148,-1102,331,-1333,-2126,-9772,-1602,-2318,-6039,-936,16354,-256,-1544,5378,316,-143,-3105,5.04,274,1381,2.4
-7030,4400,-422,-575,-2015,-2447,-6774,-10832,2492,-1842,-5001,13901,438,-738,4664,453,-54,-2948,5.05,455,2297,2.4
-6708,4258,-200,-941,-2509,-2644,-8244,-18684,2992,319,-7383,17241,432,-550,4588,398,46,-2676,5.05,308,1556,2.4
-6388,3972,200,-1332,-2858,-2910,-14908,-20510,1750,-3572,-4836,20792,324,-188,4176,110,416,-2424,5.07,239,1215,2.5
-5972,3180,878,-1979,-1715,-2894,-12758,-31292,-4116,-4706,16554,12587,-902,532,6366,-340,1292,-2352,5.06,523,2648,2.5
-6282,3180,1512,-2301,-1131,-2827,-26454,-32768,2920,6151,7347,14510,74,654,8240,-59,1569,-2751,5.09,391,1991,2.6
-6812,3186,2232,-2315,-775,-2845,-23510,-32768,-1174,7542,5695,6834,2122,958,11518,670,949,-3466,5.08,269,1366,2.6
-8582,3378,2520,-1891,923,-2357,-10506,-25160,-1440,8526,-8339,-3417,1764,-374,13150,971,-313,-3980,5.08,254,1292,2.6
-9332,3364,2132,-1172,2222,-2410,-10252,-19622,3282,715,-5664,-7742,274,-46,12042,67,-218,-3383,5.07,269,1364,2.6
-10062,2906,1788,306,2484,-2057,-11498,-19366,2876,-7260,-1763,-9300,1206,3256,9582,-523,-347,-2255,5.08,499,2534,2.7
-10646,2136,954,2162,1724,-1045,-10152,-21658,-76,-11544,2190,-9986,930,4440,9908,-447,-461,-1716,5.09,376,1917,2.7
-8462,2234,554,4900,572,-734,-11706,-24758,-5288,-10811,10955,-12162,642,3944,9094,-10,-405,-1632,5.04,455,2293,2.8
-7806,2736,966,6527,1391,-115,-13186,-24810,-8516,-6052,10243,-12845,1316,2522,7632,99,-609,-1258,5.08,298,1515,2.8
-8316,3938,1908,6793,1298,-74,-12782,-22234,-7122,-1406,8037,-13996,1332,1712,7184,65,-693,-1220,5.09,362,1842,2.8
-8378,5948,3534,4893,807,-10,-8778,-16490,-3174,5808,3791,-14499,626,210,6078,-113,-354,-1439,5.07,508,2579,2.9
-7504,6518,3782,3007,750,-86,-7098,-11836,-2392,9036,2590,-14084,502,-42,6342,-238,-183,-1407,5.08,450,2286,2.9
-6970,6828,3576,710,630,-123,-5578,-8324,-3248,10493,2176,-14128,580,-86,6088,-343,109,-1205,5.04,386,1948,2.9
-6496,6516,3430,-3154,1122,118,-8218,-2736,-4246,9983,2149,-13427,1602,518,7284,-403,321,-858,5.08,269,1366,3.0
-7020,6122,3170,-4819,1662,267,-7924,324,-3578,9104,606,-12979,2232,1046,7562,-346,284,-801,5.04,499,2515,3.0
