AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6728,2084,-4132,6930,-4042,-440,-11474,-3424,-2752,3615,-1704,1039,1262,3042,8150,-2257,1480,-5694,5.10,459,2344,0.0
-6854,2280,-4122,8035,-3768,257,-12008,-4300,-3200,3712,-3319,-307,1742,966,7750,-1881,1365,-5898,5.05,415,2100,0.1
-6852,2870,-3946,8320,-4069,459,-11730,-4676,-3434,3841,-3923,-496,890,-364,7416,-1905,1297,-6136,5.06,430,2178,0.1
-6468,3602,-3486,8330,-4335,473,-11320,-5410,-3512,4260,-4230,-271,50,-1516,7084,-2085,1295,-6270,5.05,337,1704,0.1
-5974,4324,-2568,7803,-3842,268,-10826,-5576,-3924,4565,-4026,758,-560,-2522,6192,-2420,1444,-6141,5.07,337,1711,0.2
-5682,4246,-1988,7156,-3209,-62,-10450,-5462,-4300,4411,-3806,970,-474,-2470,5914,-2641,1518,-6136,5.06,425,2153,0.2
-5684,4124,-1990,6408,-2985,-289,-10156,-5134,-4586,3833,-3709,459,-332,-1944,6186,-2774,1577,-6242,5.07,323,1637,0.2
-5580,3842,-2192,5371,-2724,-624,-9926,-5742,-3854,3200,-4613,-1219,-294,-1508,6366,-2772,1558,-6492,5.09,274,1394,0.3
-5704,3652,-2482,5216,-2733,-641,-9770,-6408,-4094,2607,-4958,-2235,-132,-1434,6428,-2699,1470,-6729,5.08,494,2509,0.3
-5834,3416,-2860,5333,-3020,-595,-10276,-7546,-4128,2213,-4843,-3555,-306,-1250,6766,-2680,1380,-7028,5.06,342,1732,0.3
-6084,3332,-3548,5989,-3693,-457,-11082,-8952,-4706,1909,-4450,-5272,-1476,-982,8236,-2663,1326,-7201,5.07,298,1513,0.4
-6276,3480,-3930,6603,-3984,-290,-11314,-9518,-4996,1888,-4438,-6165,-2374,-236,9178,-2659,1432,-7121,5.04,415,2095,0.4
-6698,3882,-4326,7321,-4222,-118,-11534,-9988,-5428,1840,-4212,-6907,-2160,466,9430,-2621,1572,-7021,5.07,362,1835,0.4
-6950,4498,-4686,8005,-4591,54,-11272,-10222,-5818,1571,-4002,-7867,-2092,1126,8904,-2591,1727,-6957,5.06,464,2351,0.4
-6898,5072,-4994,8765,-5259,280,-10556,-10828,-6342,908,-3881,-9627,-1134,1038,7904,-2463,1826,-6794,5.06,352,1782,0.5
