AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
3004,7050,17978,2112,1870,-2169,-2462,3936,2820,-2538,10124,4472,-584,-1130,13520,-274,249,-643,5.08,342,1739,0.0
5174,8854,15072,1286,970,-1379,-1482,962,5358,-3948,5929,1065,-822,-570,9456,-208,96,-242,5.07,401,2033,0.1
5986,7824,13360,-73,965,-186,-2482,-3748,10908,-3449,3208,-365,-590,-940,8240,-201,73,-86,5.06,411,2079,0.1
4754,3030,9234,-1777,653,941,-2852,-8418,15372,253,-4538,-1569,120,-1018,6268,-42,15,-350,5.07,411,2083,0.1
2468,-1088,7920,-928,662,594,-122,-5610,14774,-1301,-1992,-1002,42,-908,5426,121,41,-726,5.06,406,2054,0.2
-464,-1782,7902,1143,44,701,1042,-4156,11780,-1820,-936,-252,66,-890,4556,279,-63,-1177,5.07,401,2033,0.2
-2394,848,8392,2902,-2432,1161,1026,-1898,6172,-2606,-1515,359,-26,-948,3166,418,-36,-1464,5.07,401,2033,0.2
-1966,520,8100,3115,-3136,1106,1820,-1950,3938,-2239,-2894,-178,142,-636,2416,426,-77,-1271,5.06,406,2054,0.3
-1902,-458,6266,4627,-3645,275,5102,-2828,4774,-2913,-4017,-1675,230,-332,1770,266,-359,-624,5.07,401,2033,0.3
-2184,428,4666,4696,-4037,700,4554,-6072,9118,-3440,-6353,-3083,178,-16,1568,133,-367,-409,5.06,411,2079,0.3
-356,1438,4074,3910,-5145,1431,4310,-8284,11386,-3924,-7982,-4312,74,264,1788,8,-292,-318,5.07,401,2033,0.4
774,5088,3480,811,-6366,2278,4832,-8018,10426,-4918,-8490,-4746,-530,840,3624,-20,-206,-262,5.07,396,2008,0.4
1214,5894,4008,-655,-6297,2407,4414,-8028,9482,-4487,-9045,-4899,-700,1128,4480,173,-180,-291,5.06,406,2054,0.5
744,4854,2468,-2617,-5202,2428,3832,-7016,12116,-2505,-11223,-5878,-582,1028,7828,649,110,-311,5.07,401,2033,0.5
-1366,4164,3028,-3611,-5945,2326,4382,-6468,14112,-2435,-11169,-6984,-662,486,10194,799,81,-292,5.07,420,2132,0.5
560,3430,3600,-3622,-6498,2885,3268,-8716,16540,-2633,-11883,-7877,-832,-224,11402,747,-32,-48,5.06,406,2054,0.6
2006,1040,2136,-5083,-4798,2642,7090,-10556,19746,-1347,-12085,-7035,-1264,196,11810,377,-291,217,5.07,396,2008,0.6
-852,2136,5608,-3954,-5868,2456,3012,-9376,15646,69,-11214,-6022,-1440,212,12176,359,-416,-63,5.07,411,2083,0.6
-340,2054,8022,-2858,-7836,2583,2648,-7628,16550,-375,-11530,-4913,-1976,-62,12444,402,-309,-337,5.06,401,2029,0.7
