AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-5102,9834,-3612,2303,-3170,-12436,482,1320,-10744,-673,5830,5558,532,-814,8422,1553,498,-8438,5.08,342,1739,0.0
-11750,17934,-2430,5655,-1571,-9381,-2322,-3936,-12290,-2269,5407,4024,-334,-2198,5676,1973,298,-8621,5.07,396,2008,0.1
-15608,21726,-618,10101,-2409,-6467,-7288,-10186,-14442,-976,6109,4789,76,-2622,5592,1857,228,-8404,5.07,391,1984,0.1
-15408,26812,-216,9803,-4826,-3871,-10492,-17330,-16290,-239,8483,5691,462,-2986,5816,1489,51,-8209,5.07,396,2008,0.1
-7848,26744,-252,5358,-6845,-2598,-16234,-27762,-15158,1876,13214,4995,-688,-4130,9978,903,273,-7751,5.07,406,2058,0.2
-5312,21656,-828,3017,-7680,-1355,-15718,-29504,-13632,3511,13703,2399,-1752,-4488,11518,798,468,-7591,5.06,411,2079,0.2
-3696,19966,-616,818,-6030,-1800,-15260,-29540,-11452,5239,13699,-452,-2144,-4586,10436,655,686,-7979,5.06,401,2029,0.2
-2964,14222,1154,377,-6306,-485,-15960,-26878,-7628,8047,14992,-3280,-2838,-3438,8398,128,1449,-8283,5.07,391,1984,0.3
-2898,12868,2182,1186,-7071,-97,-18416,-24994,-7094,7745,15730,-4667,-3604,-2664,9196,-235,1877,-7856,5.06,401,2029,0.3
-1608,12746,1986,1209,-7077,379,-19710,-24238,-7038,6835,14943,-7102,-2944,-1718,10350,-490,2087,-7097,5.06,396,2005,0.3
-1642,12478,348,410,-6918,362,-19424,-23170,-7514,5725,12669,-9620,-1512,-288,10670,-623,2272,-6520,5.07,396,2008,0.4
-1632,11642,-1980,-1042,-6952,232,-16980,-21956,-9392,5200,11866,-12297,912,1062,9984,-402,1841,-6191,5.06,401,2029,0.4
-1170,10870,-2108,-1551,-6435,34,-15372,-19388,-10040,6321,12939,-11696,590,682,8752,-280,1346,-6034,5.07,401,2033,0.4
-1248,10248,-2154,-1749,-6145,114,-13752,-15978,-10526,7487,14316,-10971,-844,36,8302,-257,1045,-5977,5.06,401,2029,0.5
-1698,8170,-1748,-1319,-6139,536,-17690,-11464,-15926,9288,14438,-4728,-1750,-170,7098,-287,1091,-5820,5.06,396,2005,0.5
-1642,7208,-1696,-683,-6036,826,-11730,-6760,-10616,9487,2441,-8905,-1632,120,6282,-281,1076,-5613,5.07,401,2033,0.6
-1496,6632,-2262,-150,-5857,1067,-7178,-4490,-8042,7234,5185,-12971,-1534,512,5888,-203,1027,-5407,5.07,396,2008,0.6
-1462,6064,-2578,101,-5505,1162,-9420,-3698,-8116,7317,3859,-12722,-1480,660,5310,-125,1003,-5171,5.07,391,1984,0.6
-1432,4230,-2672,466,-4646,953,-7972,1496,-8222,7797,2308,-8449,-1362,236,4518,-87,971,-4819,5.07,396,2008,0.7
-1476,3626,-2584,666,-4323,1026,-6090,4518,-7878,5996,4133,-9350,-964,-44,4016,-134,837,-4733,5.07,401,2033,0.7
-1510,3114,-2382,788,-4257,1059,-5900,4856,-7800,5109,3132,-8784,-680,-432,3488,-157,785,-4600,5.06,396,2005,0.7
