AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-3616,7940,-1016,2558,-5948,-791,-2614,-2606,-6806,2966,9655,-13148,-2964,-2088,7360,-640,1331,-8822,5.08,342,1739,0.0
-3860,7370,-1162,2590,-6303,-544,-2268,-1454,-4964,2937,7823,-11430,-3236,-1882,7730,-652,1378,-9224,5.07,396,2008,0.1
-3972,7338,-1066,2909,-6290,-347,-2354,-1502,-2664,3028,7001,-10557,-3404,-1350,7366,-639,1436,-9351,5.07,391,1984,0.1
-4046,6842,-994,3401,-6285,-173,-2040,-764,-1542,2975,6018,-9428,-3836,-738,7132,-621,1446,-9407,5.06,401,2029,0.1
-4232,6880,-726,4311,-6345,7,-1200,-796,-1448,857,3126,-9526,-4218,310,6698,-484,1416,-9167,5.07,401,2033,0.2
-4100,7200,-518,4327,-6509,-122,-968,-2074,-1108,-497,2230,-9912,-4302,908,6672,-376,1428,-8978,5.06,406,2054,0.2
-4188,7244,-250,4122,-6623,-375,732,-2114,-1112,-1057,1280,-9883,-4568,1246,6362,-251,1577,-8818,5.07,381,1934,0.2
-4042,7446,74,3671,-6295,-655,2678,-2014,-84,-1041,220,-9071,-4444,1432,6064,-59,1807,-8495,5.07,401,2033,0.3
-4236,7394,176,3483,-6268,-706,3062,-1412,270,-1318,0,-8786,-4062,1552,5682,45,1883,-8282,5.06,401,2029,0.3
-3668,6618,530,3618,-6811,-693,3536,-198,1416,-1850,-903,-7935,-3526,1974,5118,226,1888,-7980,5.07,396,2008,0.4
-3080,6070,560,3802,-6965,-689,3928,1114,1974,-2571,-2707,-7163,-2824,1870,4922,306,1773,-7865,5.08,401,2037,0.4
-2590,5798,702,4001,-6919,-782,4390,2636,1850,-3216,-4984,-6375,-2598,1456,4296,345,1630,-7692,5.06,406,2054,0.4
-2306,5836,1016,4576,-6636,-849,5682,3826,1730,-3780,-5241,-6743,-1458,298,5328,204,1302,-7191,5.07,401,2033,0.5
-2216,6476,1328,4752,-6752,-934,5444,4288,770,-5321,-4129,-6162,1396,6,7962,87,888,-6958,5.07,411,2083,0.5
-1978,7506,1228,4452,-7118,-983,1074,4412,918,-5691,-3691,-4480,3032,-1548,11402,-22,271,-7002,5.07,396,2008,0.5
-1588,8730,848,3359,-7084,-1415,6796,3956,-1004,-6583,-1069,-4101,-1254,-5648,12692,-281,-216,-6919,5.07,391,1984,0.6
-1838,8544,870,2827,-6833,-1657,4818,2836,1128,-6430,6470,-9,-1484,-4320,8576,-302,-478,-7052,5.06,406,2054,0.6
-1978,8672,634,2499,-6301,-1704,2422,3376,312,-5036,1509,-1168,-848,-3160,7696,-206,-443,-7135,5.06,401,2029,0.6
