AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
2070,3050,10414,-5001,637,448,2500,64,9396,6811,3900,-319,-90,-2072,3280,-82,-224,914,5.07,323,1637,0.0
2216,3946,9610,-4748,229,377,760,4146,11412,9629,3455,477,-888,-2364,7122,-590,-255,979,5.08,401,2037,0.1
2824,3364,10468,-3798,-520,345,-540,8604,11070,8482,834,-281,202,-1610,12796,-607,-259,872,5.05,327,1655,0.1
2852,3312,11344,-1807,-1998,301,-86,8954,8722,3801,-384,875,-3988,-754,19724,168,312,505,5.07,455,2306,0.1
2158,3760,9512,-682,-2650,316,-1290,6132,7674,1911,-1164,962,-4516,-2528,21140,134,-248,519,5.07,362,1835,0.2
-702,1526,8668,2218,-3092,582,-896,4314,6428,1451,-1876,1314,-2178,-952,11858,111,59,423,5.08,430,2186,0.2
-1570,1218,9100,3355,-3330,516,-278,5630,5450,983,-1296,1982,-1762,-1172,10240,234,422,216,5.07,455,2306,0.2
-2370,356,9804,4110,-2636,-701,1006,5808,4364,-452,-464,2431,-564,-2188,9926,166,420,65,5.05,327,1655,0.3
-1260,-1550,9546,6613,-3081,474,3004,-1514,6208,-2306,-594,2939,152,-2604,7782,-206,37,-136,5.08,425,2161,0.3
-1770,-1348,8700,7494,-4154,28,3734,-4644,9478,-2579,-962,2581,94,-2466,6510,-381,-141,-294,5.07,420,2132,0.3
-1118,1322,7268,7066,-6534,-38,3132,-4298,12922,-3951,-1057,1495,-250,-1758,3576,-462,-218,-695,5.07,455,2306,0.4
2,1802,6740,5847,-5921,-42,2822,-3144,12384,-5802,-1470,1118,-232,-1424,3044,-474,-183,-871,5.07,386,1959,0.4
-1728,4200,6844,4626,-5600,234,2328,-2700,10530,-7501,-1904,644,-376,-1134,1998,-470,-36,-992,5.07,362,1835,0.5
-1274,4734,5734,2336,-6601,743,2266,-3854,9716,-9115,-3579,-623,-602,-702,1862,-410,98,-1052,5.07,435,2207,0.5
-1894,4320,4768,1385,-6829,1791,2676,-3712,11916,-9687,-4894,-1430,-346,268,2352,-262,157,-1027,5.06,342,1732,0.5
944,4370,2760,-212,-6846,1505,2464,-3214,14462,-10615,-5449,-2321,334,798,3010,-38,141,-930,5.07,450,2281,0.6
216,3862,1294,-2517,-7108,2337,2312,-4344,13554,-10089,-5131,-3781,656,1402,3850,271,-94,-898,5.07,342,1736,0.6
1934,4550,1152,-4128,-6418,2760,2474,-4180,10384,-9033,-4356,-4300,492,1474,4554,347,-279,-861,5.05,337,1704,0.6
2284,3062,1648,-5040,-5485,2655,1586,-4146,9996,-7697,-3950,-4510,-212,1584,4952,369,-410,-643,5.08,445,2261,0.7
4878,-840,-642,-3889,-2611,1808,2336,-4430,9878,-3407,-5532,-4910,-1330,308,6552,190,-390,-293,5.05,323,1630,0.7
5074,-228,-782,-1513,-3595,1625,1784,-3510,9608,-2050,-5138,-4672,-1516,-406,8094,-59,-289,-225,5.05,332,1680,0.7
6114,604,-2810,1046,-3957,1720,-300,-7688,10420,1143,-6476,-4553,-1634,-956,11354,-298,4,-337,5.07,450,2281,0.8
9084,2384,-562,1473,-1092,1155,2768,-5062,9548,2810,-9820,-3518,-3300,142,19694,-282,225,-796,5.06,342,1732,0.8
8372,1230,-28,48,-560,319,2844,-4984,8362,1807,-11091,-2738,-3136,2166,18434,-51,-397,-975,5.06,323,1633,0.8
9352,208,554,-1084,1457,-576,6802,-5022,1862,-3311,-3829,-1954,-2880,922,10380,27,-112,-369,5.08,381,1938,0.9
7518,5556,7432,-4395,469,-439,5976,-4444,2504,-4386,2821,-919,-2044,826,9526,-104,180,-174,5.06,327,1658,0.9
6234,4832,8672,-9396,1197,-676,6424,-3644,2494,-4159,7070,-209,-884,1198,8500,-132,345,-7,5.07,455,2306,0.9
3188,-142,13296,-8253,3262,272,4654,-6864,4152,-139,4973,1601,-586,1894,6970,-13,270,192,5.06,342,1732,1.0
2752,-2360,14154,-6407,3154,-132,3468,-8378,4834,1510,1326,-127,-848,1946,5856,40,227,374,5.06,332,1683,1.0
1626,3550,12468,-2076,1983,-417,4498,-7688,5142,6842,-5751,-858,-1036,1948,4210,48,208,709,5.05,347,1754,1.0
1668,7422,8914,-1285,2416,-295,6430,-5984,6234,8889,-5127,-15,-1186,1740,3610,32,311,846,5.06,425,2153,1.1
1276,6902,7182,57,3042,-182,8192,2842,5794,4032,3045,-4174,-1092,852,3982,12,336,961,5.08,401,2037,1.1
1788,2826,4950,3489,3605,356,2256,-1870,4048,4202,5372,869,-34,-482,4294,-149,295,1181,5.07,474,2405,1.1
1270,976,4532,4197,4566,644,2764,400,2222,3289,4834,882,456,-962,4372,-221,224,1193,5.07,381,1934,1.2
268,652,5938,3402,5908,953,3028,-24,634,1598,6569,1184,828,-1046,4432,-269,61,1007,5.06,327,1658,1.2
-220,98,6292,2672,6432,837,2170,-2390,-1756,1671,6932,1183,928,-1000,4574,-241,9,895,5.05,357,1803,1.2
-830,-1086,8872,623,7369,490,2658,-4202,-2290,2008,7221,1298,688,-1110,4596,-115,-139,671,5.05,323,1630,1.3
-1270,-1412,10350,-13,7741,269,3232,-5612,-2568,2953,7965,1653,352,-1436,4468,-56,-258,561,5.06,327,1658,1.3
-1074,328,11918,-152,7401,-74,2160,-4162,166,5148,9927,992,-954,-1838,5052,-89,-263,350,5.07,323,1637,1.3
-1632,-146,13374,-5,7225,-471,1184,-2408,2350,5336,11579,560,-1062,-1788,5930,-67,-223,302,5.05,327,1655,1.3
-1724,2720,17942,-867,6241,-1002,-2272,2988,4682,3180,11516,361,-1070,-1760,10266,71,-96,103,5.08,450,2286,1.4
-98,4782,19656,-1958,5340,-897,-1876,3624,3334,1144,10629,-42,-818,-2382,15154,163,6,-72,5.08,362,1838,1.4
1318,6058,21252,-2244,4132,-946,-1992,2590,1512,119,10771,-473,-1114,-3784,19806,184,-131,-317,5.08,420,2137,1.4
3816,7688,19042,-3320,2001,19,-4832,5640,11630,-163,8017,-426,-2448,-2464,12384,-323,-182,-411,5.06,313,1584,1.5
3398,5534,19124,-2190,699,325,-5308,7894,17476,-1212,4560,-390,-2438,-1114,10170,-520,120,-272,5.07,440,2232,1.5
3876,4382,17152,-825,-378,848,-3692,6552,19130,-2908,761,78,-1596,-172,9110,-556,457,-187,5.04,396,1997,1.5
-164,420,11664,848,-699,690,-2830,-2646,15734,-2037,-1695,-561,-228,-912,8866,-317,326,-230,5.07,450,2281,1.6
-2062,-12,11946,2411,-1169,549,-2806,-4400,11784,-349,-2245,-620,-210,-1806,8048,-190,214,-321,5.04,396,1997,1.6
-2638,3098,10496,666,-1540,228,-1726,-3006,3544,2043,-1579,-152,-268,-1828,5710,-30,73,-652,5.06,313,1584,1.7
-2312,2136,9800,-465,-1771,-213,-1310,-364,1980,2538,-1957,822,-366,-1424,4990,83,64,-808,5.08,430,2186,1.7
-1590,476,9102,83,-1623,-728,-766,2568,1626,2468,-2514,1843,-494,-880,4066,180,98,-907,5.06,464,2351,1.7
-810,-536,8324,3098,-1960,-1089,1786,1660,2996,1194,-2610,2336,-540,-156,3126,269,349,-876,5.07,323,1637,1.8
604,-944,7822,4492,-2231,-1140,3642,-634,4854,548,-2802,2052,-286,152,2852,289,365,-813,5.07,450,2281,1.8
372,-266,6124,5252,-2557,-1066,5420,-3446,9044,714,-3475,869,366,722,2530,292,311,-671,5.08,332,1689,1.8
1660,-498,4634,5415,-2660,-95,5484,-2610,10540,1171,-3775,396,502,1086,2176,249,274,-592,5.05,357,1803,1.9
1666,2000,4096,5312,-2570,661,5192,-818,10984,1084,-3410,-19,646,1136,2256,221,188,-488,5.06,337,1708,1.9
1658,3456,4546,3237,-2761,1275,4448,1266,9842,-1546,-4619,-1208,-430,1198,2538,210,154,-290,5.05,425,2149,1.9
1166,4456,4694,1828,-2823,1995,4182,440,8714,-2752,-5577,-1843,-1124,886,3664,201,-7,-63,5.04,425,2145,2.0
282,5906,5064,-892,-3487,2639,5102,-1458,9388,-2182,-5756,-2292,-1350,264,5878,183,66,385,5.07,464,2356,2.0
-2044,5542,4730,-2588,-4067,2828,5342,-1860,11466,-1070,-5936,-2097,-936,-376,9262,84,115,539,5.05,332,1680,2.0
-2098,4922,4578,-3556,-5225,3098,5820,-1046,13534,-351,-6204,-1902,-1172,-32,14894,23,147,504,5.06,352,1782,2.1
-2962,3660,4104,-4773,-7055,4311,5312,-1130,16264,-2527,-6862,-1269,-4044,2556,19032,154,18,23,5.07,464,2356,2.1
-2062,-354,3342,-5735,-8368,4406,4514,-1208,19752,-3800,-8854,-810,-4188,2878,15622,220,-257,156,5.06,435,2203,2.2
-926,-4066,1576,-4463,-9189,4481,5086,-2650,19634,-3085,-11152,-556,-3538,1232,10806,308,-161,818,5.05,415,2100,2.2
1042,-624,5924,-1642,-10695,3727,1180,-4560,13838,-1998,-9669,-868,-1702,-1218,10586,96,298,935,5.08,445,2261,2.2
2448,-2386,3182,-1242,-10209,2535,1590,-1722,13654,-2328,-9425,-1078,-450,-1270,9454,-13,277,744,5.05,323,1630,2.3
3932,-3174,-952,-240,-10267,1468,2370,-4450,12188,-1155,-7701,-1061,140,-610,9174,-65,-33,597,5.07,391,1984,2.3
8008,-2102,-5644,3273,-6369,-362,-676,-1858,10848,-491,-7795,-1782,58,276,6620,-46,-257,293,5.05,523,2643,2.4
9846,-2206,-9582,4243,-3448,-1103,1976,-1702,8906,-2247,-5842,-1821,-40,-46,5652,-48,-373,128,5.05,396,2001,2.4
11216,-732,-7848,2976,-1734,-1759,1194,-768,7172,-4429,-3559,-1213,-420,-354,4544,-86,-305,2,5.07,391,1984,2.4
9770,3524,5022,139,700,-2083,2160,-546,-2,-3576,-2384,-821,-442,-664,3916,-340,-119,-16,5.08,455,2310,2.5
7866,11502,8276,-2126,-588,-403,2526,1050,-984,-3305,-120,307,-332,-348,3544,-403,-25,79,5.07,450,2281,2.5
6716,4716,8346,-6724,1735,-124,2798,952,1052,-2612,1518,1986,118,270,3588,-353,-60,219,5.06,313,1584,2.5
6640,1260,8258,-6660,2345,-526,2934,-300,3030,-1992,1253,2306,196,610,3388,-274,-69,269,5.06,445,2252,2.6
4886,-266,5780,-4814,2818,-683,2544,-450,2752,-1558,1663,2595,254,602,3162,-207,-96,295,5.05,435,2198,2.6
-1492,3758,5308,-631,4133,-412,4756,-6924,-140,2861,2654,897,-110,120,3022,-96,-202,335,5.06,323,1633,2.6
-896,854,5012,-615,4512,-466,5016,-9528,2220,5370,2869,-502,-526,-116,3224,-89,-215,399,5.04,337,1701,2.7
-118,48,5256,494,6197,-976,5684,-3214,4882,4525,4092,-384,-1208,-504,4226,-105,-236,613,5.07,464,2356,2.7
492,810,5086,18,7229,-1115,4828,-1504,3886,3785,5413,195,-1584,-836,4910,-78,-86,571,5.06,455,2302,2.7
1136,2776,9898,-1088,9080,-1399,6264,-140,-3288,3660,8661,764,-1518,-1776,8638,15,411,253,5.06,411,2079,2.8
1418,3078,14088,-1316,9309,-1441,6650,1374,-3176,692,10659,2136,-480,-2652,12806,5,619,138,5.08,455,2310,2.8
2128,3254,18060,-1127,8818,-1294,2510,-5536,-4492,147,13072,2774,82,-3850,17428,-76,429,155,5.05,435,2198,2.8
2758,4174,20238,-1496,7276,-1097,-1502,-2662,434,1787,11368,1293,-1528,-3550,15712,-405,-476,-67,5.07,440,2232,2.9
2204,3758,19522,-1125,6507,-1279,-1724,-2006,8206,1693,7811,1118,-2246,-2612,13368,-404,-583,-270,5.07,450,2281,2.9
1840,2842,18256,-126,5701,-1485,-1590,258,13288,851,5626,1047,-2910,-1430,11738,-390,-208,-410,5.06,323,1633,3.0
2056,3276,18480,1066,4176,-1164,-682,2988,13866,-779,4806,1721,-1100,78,10060,-224,195,-341,5.06,323,1633,3.0
2254,3040,19212,1048,3773,-1011,-148,5410,12904,-2033,5245,2313,-1054,-224,9436,-140,224,-249,5.08,450,2286,3.0
3754,3878,19260,394,2730,-598,1682,1460,5098,-4244,5679,2763,-246,-1532,7608,-121,109,-192,5.08,406,2062,3.1
4942,3772,16784,68,2413,-363,1030,-1432,3956,-3894,5676,2644,-346,-1608,6518,-182,155,-334,5.07,362,1835,3.1
5288,2612,12258,-164,1996,3,614,-294,5584,-1048,3803,2905,-428,-1156,4506,-241,341,-559,5.07,445,2256,3.2
5540,3220,9938,64,2000,265,182,694,6778,-153,2095,2266,-224,-748,4386,-249,320,-645,5.04,391,1972,3.2
4876,2098,7854,-218,2102,810,2668,-158,7502,-772,5618,1887,-352,-496,3076,-172,594,-632,5.08,445,2261,3.2
2586,446,7186,612,2001,1258,2144,-5080,9140,1415,2091,177,296,114,2432,-64,591,-599,5.05,323,1630,3.2
1802,1196,6980,690,1704,1425,2030,-5956,9266,3132,1202,-600,260,444,1876,9,591,-509,5.05,445,2248,3.3
1812,-740,8454,1505,1080,901,1678,-1750,8240,4791,324,-1904,318,744,2100,152,421,-240,5.08,455,2310,3.3
1312,188,8416,2073,1150,398,1920,-198,5764,4350,175,-1703,470,1104,1424,239,209,-100,5.05,342,1729,3.4
646,-810,8650,2180,1206,307,1478,864,3476,3659,-658,-1165,-922,1246,1962,336,218,208,5.05,357,1803,3.4
338,-1572,8656,3335,75,-507,1616,1144,4574,3506,-1585,-854,-1014,1336,3432,385,49,377,5.05,332,1680,3.4
-972,1076,6772,4262,-1192,762,2480,1502,8842,2911,-2776,-830,-820,476,4350,343,22,685,5.04,503,2539,3.5
-790,5542,5332,2607,-2612,1296,2984,674,11324,2421,-3635,-875,-814,-396,7560,285,198,646,5.07,352,1785,3.5
-942,7880,4684,159,-2763,1486,4280,514,14316,1909,-4642,-908,-2750,-1604,16552,322,600,642,5.08,440,2236,3.5
-5482,7228,7184,-2213,-4281,3320,2828,1456,14176,1790,-5806,330,-5896,-242,25304,567,262,-552,5.08,411,2087,3.6
