AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-5790,-16966,-4900,5748,1267,-1540,-2226,-3328,-3574,-1196,-2201,-1525,-662,-1458,2934,239,57,3918,5.07,342,1736,0.0
-6150,-13666,-6160,10007,-2257,-5238,-2050,-3142,-3920,-1664,173,-1605,-654,-722,1970,292,560,3668,5.06,435,2203,0.1
-7552,-11688,-6352,11593,-2607,-7526,-1608,-3208,-4158,-1452,1022,-1233,-594,8,2546,132,525,3559,5.05,435,2198,0.1
-8898,-8028,-6546,12763,-4170,-9689,-3018,-3378,-3664,-649,1830,-832,-900,672,4088,-69,504,3723,5.07,362,1835,0.1
-11558,-3716,-7224,11716,-7555,-14669,-2260,-3574,-3596,225,-328,-19,-1242,1898,6866,-315,314,4197,5.08,386,1963,0.2
-12510,-452,-6512,8265,-7217,-18099,-4744,-3768,-3698,-884,-4257,-507,-1414,2032,8440,-370,137,4511,5.07,435,2207,0.2
-13168,1910,-7648,6293,-1,-20836,-550,-4330,-3622,-65,-5385,757,-1044,1990,8598,-254,25,4779,5.05,323,1630,0.2
-16942,10080,-10422,6527,2294,-21874,-2492,-6016,-3850,-1577,-4186,-133,-1312,1522,8144,368,6,4758,5.08,435,2211,0.3
-18450,18542,-7480,6395,2953,-21480,-1904,-6654,-3616,-1189,-3855,1392,-2000,1004,8098,938,197,4564,5.08,450,2286,0.3
-18548,22738,-5670,6979,3296,-21844,-2090,-6694,-3352,-2053,-2983,1382,-2252,398,8108,1315,365,3932,5.07,464,2356,0.3
-21976,32767,-4522,3922,7128,-20363,-2710,-10834,-2322,-2473,-5324,1033,-4182,562,9826,1236,867,3173,5.08,450,2286,0.4
-25710,32767,2754,1374,7395,-15331,-1938,-12696,-1918,-2099,-5353,1226,-3836,838,12162,780,1070,3277,5.05,411,2075,0.4
-17006,32767,9068,-1338,3592,-9367,-2226,-13982,-2256,-1913,-5048,1083,-2682,1306,13462,186,1151,3483,5.06,327,1658,0.5
-7640,32767,16662,-1862,2484,-1178,-2766,-14906,-2720,-1490,-3280,2543,780,950,14240,321,706,3111,5.08,435,2211,0.5
-6768,32767,16470,-1708,137,3438,-2706,-15512,-2870,-1943,-2408,2842,1278,-1190,13240,659,658,2346,5.08,401,2037,0.5
-5012,32767,14394,-2677,-1793,6702,-2436,-15654,-2552,-2369,-1472,2813,620,-3154,12098,713,534,1401,5.05,323,1630,0.6
-4018,32632,12570,-4144,-3429,9509,-1806,-15740,-2106,-2667,-568,2813,704,-4054,10406,428,301,664,5.06,396,2005,0.6
-4744,23724,6856,-6138,-4631,12773,-1158,-14824,-2206,-3800,-2298,819,-268,-956,8660,-76,44,-111,5.08,440,2236,0.7
-5856,20004,3970,-6339,-5116,14028,-24,-14472,-2534,-3466,-2788,241,-1814,768,8198,-133,364,-106,5.07,435,2207,0.7
-6536,16606,1124,-6471,-5294,15203,366,-13094,-2922,-2810,-2674,202,-2476,2628,8294,-65,789,-197,5.05,347,1754,0.7
-7350,9068,-3080,-6376,-4540,16466,46,-11072,-4024,-1195,-1131,576,-472,3656,8570,93,960,-374,5.06,415,2104,0.8
-8372,8694,-4624,-6690,-4567,17075,-542,-9464,-4310,-741,-836,630,1078,3358,8660,32,814,-143,5.07,327,1661,0.8
-9366,4060,-5118,-7293,-3574,16401,-664,-8264,-4328,-642,-606,447,1494,3076,8944,-54,403,164,5.07,323,1637,0.8
-11488,-4714,-6878,-7699,-2714,14942,-484,-6336,-4420,-952,-475,71,478,2112,6738,-284,72,79,5.05,425,2149,0.9
-11778,-7258,-7536,-6240,-2717,14154,-386,-5776,-4368,-1171,-598,-275,542,1686,5742,-377,-4,-184,5.04,396,1997,0.9
-11290,-12254,-9932,-4250,-3793,13037,-320,-5536,-4046,-1190,-784,-524,150,716,4906,-466,-55,-187,5.08,386,1963,0.9
-8932,-17250,-7842,-1435,-2207,8024,-238,-5132,-2932,-571,-280,-446,-286,-142,3294,-713,-272,40,5.06,411,2079,1.0
-9184,-18432,-6604,343,-1597,5589,-212,-5226,-2140,177,212,-365,-424,-268,2736,-851,-339,62,5.05,396,2001,1.0
-6170,-15952,-5176,1463,-2454,-923,-46,-4776,-980,1155,593,-524,476,-582,1970,-1030,-528,132,5.08,362,1838,1.0
-5710,-13736,-4192,2836,-2711,-3941,-502,-4320,-608,1560,575,-665,386,-1128,664,-1035,-334,172,5.05,464,2347,1.1
-5874,-11530,-5220,4502,-3971,-5637,-136,-3388,-122,1694,471,-794,304,-736,896,-1036,-652,204,5.07,406,2058,1.1
-5564,-7602,-3974,5845,748,-9908,-182,-2510,278,1488,264,-1074,160,270,1162,-919,-757,262,5.06,313,1584,1.1
-6538,-5694,-3846,6817,826,-11322,-66,-2200,228,1108,228,-1123,-172,844,2004,-763,-861,198,5.06,411,2079,1.2
