AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-18818,2918,-2144,3777,2968,-24120,-2566,-6736,-328,-2118,-4425,3643,-570,-750,7180,-52,-597,5080,5.07,332,1686,0.0
-25134,5848,-1438,1495,4172,-26910,-2414,-7436,-716,-2767,-5689,3648,-468,-1014,8116,306,-246,4547,5.07,342,1736,0.1
-31284,9964,648,-812,3197,-29144,-1846,-7650,-658,-3338,-6005,3366,-160,-1766,8512,421,-65,4284,5.07,352,1785,0.1
-32768,27126,15692,-11096,3344,-28466,-1118,-10282,-226,-3177,-5040,3537,376,-2756,8788,307,54,3887,5.05,357,1803,0.1
-32768,22520,17994,-17958,5853,-29439,-1196,-11626,628,-2623,-4185,3279,-160,-2880,8866,-164,-148,4095,5.06,415,2104,0.2
-32768,5670,8412,-12890,5114,-28110,-1416,-12814,1500,-1809,-3079,3185,-978,-1852,9558,-1012,-522,4626,5.08,440,2236,0.2
-32768,4158,-2706,3656,2395,-20414,-1992,-13166,1868,-1119,-2324,2715,-230,406,11968,-1664,-1298,5569,5.07,381,1934,0.2
3270,17910,22188,14063,-6890,2389,-2060,-11482,1620,-1278,-1538,1793,4252,-1928,10046,-675,-2080,4850,5.06,308,1559,0.3
-11086,27612,13236,-1923,3970,-87,-798,-10066,630,-2063,-890,1349,3850,-4078,8980,781,-1832,3309,5.06,332,1683,0.3
-12428,18848,9930,-5654,6173,30,872,-9096,-2,-2656,-1074,1352,1704,-5762,6158,2003,-1080,1376,5.08,440,2236,0.3
-13712,6862,5348,-113,1723,1121,3712,-9970,520,-3086,-775,1499,18,-9140,5792,2450,454,-2435,5.08,420,2137,0.4
-11634,6244,6312,2809,-937,2362,3768,-11686,1220,-2126,-336,1414,798,-12068,6362,1755,1360,-3096,5.08,371,1888,0.4
-9692,5544,6658,2923,-1166,2221,3804,-13308,1500,-585,326,1150,2636,-12278,7196,478,1322,-2676,5.05,323,1630,0.4
-8962,6534,4680,1827,275,2721,1448,-15604,1086,2094,1487,102,3274,-6196,10748,-1415,87,-2427,5.07,342,1736,0.5
-11188,5544,3232,1431,1044,3745,194,-15788,1444,2971,1618,-764,1000,-1808,12052,-1577,74,-2634,5.07,332,1686,0.5
-12604,4218,2194,1444,1310,4654,-778,-15674,2052,3592,2381,-1401,956,1200,12510,-1262,-147,-3427,5.07,362,1835,0.5
-13676,2772,304,969,1621,5752,-1906,-13728,2106,3292,5392,-2230,1400,2160,8902,-415,-372,-4793,5.07,464,2356,0.6
