AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
984,2348,5656,-1665,-2936,2036,3326,-2516,6694,38,1989,1668,-2274,418,7688,509,112,-253,5.08,342,1739,0.0
980,2238,4464,-626,-1767,878,3326,-4300,10846,12,2478,1762,-2044,-170,7602,417,201,37,5.07,396,2008,0.1
732,1508,3944,-287,-2169,1030,4412,-3854,12938,-2132,5180,1617,-1528,-574,7412,262,217,119,5.07,381,1934,0.1
3156,184,2990,-234,-2933,2095,3920,-4422,14544,-2842,5280,2774,-622,-632,7736,52,109,-47,5.07,391,1984,0.1
3454,-242,2180,-458,-2977,2323,3614,-4702,13924,-3666,5027,2508,-432,-292,8038,40,-31,-238,5.07,391,1984,0.2
3750,-1574,-386,-729,-2594,2184,598,-7816,13056,-2481,3996,2508,-840,288,7792,90,-282,-406,5.07,401,2033,0.2
4044,-2510,-1598,-855,-1925,1622,-766,-12154,13496,-942,2583,1768,-1012,570,7254,56,-332,-371,5.06,406,2054,0.2
4054,-3276,-2642,-757,-1288,1051,-752,-11396,13266,447,1464,1394,-1130,654,6542,-14,-346,-271,5.06,396,2005,0.3
4108,-3396,-3962,-69,-252,349,-344,-7172,12384,-80,241,1649,-836,310,6096,-151,-277,0,5.07,396,2008,0.3
4040,-2962,-4270,150,-71,73,-234,-7100,11562,-175,49,1372,-808,-88,6330,-170,-252,114,5.07,401,2033,0.3
3826,-1320,-3274,76,1199,-498,-1548,-6042,9726,501,-1286,565,-674,-638,7306,-178,-229,213,5.07,391,1984,0.4
3812,-1184,-1738,118,2052,-866,-1296,-4938,8512,781,-2370,-142,-788,-758,7820,-197,-242,220,5.07,396,2008,0.4
3494,814,390,-476,2482,-1084,-550,-4428,7446,379,-2851,-767,-804,-620,7812,-217,-212,209,5.07,406,2058,0.4
1308,2380,4412,-1866,4107,-1644,-570,-5248,6178,-156,-3248,-1768,-648,-530,7492,-246,-246,178,5.07,396,2008,0.5
1080,1918,6758,-2711,4396,-1948,510,-5372,5348,83,-2928,-2266,-520,-494,7186,-234,-279,196,5.06,396,2005,0.5
692,538,9752,-982,4344,-1845,958,-3966,3724,1133,-2112,-2924,-526,-778,6826,-194,-278,181,5.07,396,2008,0.6
260,1644,11772,514,4282,-1558,1586,-2228,2476,1722,-2456,-2557,-366,-968,6628,-172,-248,189,5.07,401,2033,0.6
250,3316,13664,1456,4179,-1505,2370,-1170,738,1732,-2238,-2139,-624,-1264,6720,-149,-227,168,5.07,401,2033,0.6
616,4622,17752,1166,4246,-1383,3142,-448,-654,1045,-1440,-1193,-980,-1460,6626,-78,-84,82,5.07,396,2008,0.7
1108,4722,19622,869,3679,-1235,3214,-486,-1166,568,-593,-912,-1002,-1410,6454,-43,50,31,5.07,401,2033,0.7
1298,5976,20634,478,2522,-1288,3086,-570,-1064,624,232,-439,-1150,-1300,6614,-18,121,-46,5.07,396,2008,0.7
1236,4548,20518,57,698,-1597,2954,-1092,1140,1947,-1624,-526,-906,-670,6884,30,278,-43,5.07,391,1984,0.8
892,4092,19420,839,70,-1173,3186,-152,2150,2149,-2731,-535,-546,-250,7222,61,312,-9,5.07,406,2058,0.8
-28,5692,19536,2214,-2318,40,4004,-708,2672,1571,-2026,-980,-56,116,8230,159,140,-52,5.07,401,2033,0.8
412,7470,16726,1978,-2868,478,3620,-714,3324,1044,-1946,-1434,-526,308,8338,213,-5,-111,5.06,396,2005,0.9
330,7250,11556,-823,-3085,945,3242,-584,4000,1231,-1790,-1031,-2458,476,7918,327,-74,6,5.07,396,2008,0.9
632,5240,9828,-1591,-3094,1178,3760,-530,4448,1391,-928,-321,-2608,570,7524,334,24,166,5.07,406,2058,0.9
1544,3332,9038,-1501,-3170,1352,3752,-860,5428,1057,791,135,-2156,-52,7402,266,283,414,5.07,386,1959,1.0
1762,2644,7242,-516,-2853,1581,4006,-1680,8908,-362,3977,748,-776,-538,7734,123,378,479,5.07,396,2008,1.0
1424,2092,6036,388,-2747,1690,4850,-1976,10728,-805,4773,581,-198,-614,8160,140,248,335,5.07,396,2008,1.0
978,2766,4210,1204,-2962,2115,3994,-3480,14800,-1873,4311,446,-158,-492,7934,234,-127,-65,5.07,401,2033,1.1
1226,2590,3342,453,-3232,2393,3680,-3778,15540,-2949,3910,772,-448,-262,7442,241,-328,-169,5.07,391,1984,1.1
1408,1552,1992,-521,-3231,2524,3378,-4954,14332,-2798,4076,2047,-822,40,6340,197,-387,-206,5.07,396,2008,1.1
2390,-1482,-166,-1515,-2737,2301,750,-6808,14424,-2125,3691,2472,-1222,136,5308,19,-325,-103,5.07,391,1984,1.2
2756,-2980,-998,-1657,-2417,1845,302,-7316,12938,-1196,2691,2459,-1148,84,5690,-121,-253,8,5.07,401,2033,1.2
4082,-4058,-2378,-986,-1463,1406,-322,-4852,10508,-795,1199,2041,-470,-364,6588,-313,-84,193,5.07,391,1984,1.3
4682,-3866,-2552,-480,-839,1166,-436,-4902,9738,-443,166,1476,-172,-850,7478,-378,-79,188,5.06,406,2054,1.3
4674,-3510,-2438,-58,-245,442,-726,-5038,8860,193,-890,796,-448,-910,8472,-389,-117,146,5.06,401,2029,1.3
4462,-1572,-2318,353,1103,-750,-266,-3506,8032,51,-2063,142,-452,-956,8628,-303,-179,17,5.07,391,1984,1.4
4004,-410,-1156,259,1505,-1141,-160,-3550,7322,-675,-2587,-275,-378,-738,7584,-224,-89,-94,5.07,415,2108,1.4
2882,2112,2064,-228,2907,-1744,606,-4702,6052,-1367,-3190,-1689,-564,-376,7062,-99,-64,-214,5.07,396,2008,1.4
2304,2822,4188,-1061,3990,-2008,1460,-4718,4826,-1064,-2844,-1966,-688,-462,6692,-74,-65,-167,5.07,396,2008,1.5
1524,2344,6090,-1469,4821,-2413,1324,-3602,3646,-728,-2672,-2472,-960,-532,6660,-53,-33,-57,5.07,396,2008,1.5
500,1506,10008,-529,4965,-2313,2290,-2104,1016,-12,-2866,-2381,-1280,-956,6664,-43,109,77,5.07,396,2008,1.5
14,2246,12722,541,4654,-1913,3018,-1006,-252,-157,-2560,-1941,-1142,-1070,6582,-23,243,98,5.06,401,2029,1.6
180,4190,17748,894,4347,-1665,3864,6,-482,-925,-1448,-903,-706,-1170,6786,21,444,-33,5.07,396,2008,1.6
508,4292,20002,785,4041,-1373,4166,-552,42,-1085,-525,-830,-474,-1028,7024,28,409,-120,5.07,411,2083,1.6
918,4960,20564,919,3152,-979,3810,-1442,896,-626,-94,-693,-388,-1022,7128,17,390,-185,5.07,401,2033,1.7
1570,8010,21264,-67,1307,-1168,2912,-1898,1470,906,-1964,-716,282,-408,8190,32,201,-179,5.07,401,2033,1.7
1564,7082,21888,-191,171,-1167,3368,-1536,1994,1839,-2801,-684,404,-38,8668,67,14,-217,5.06,406,2054,1.7
398,4990,18442,932,-1608,-696,4012,-394,2650,2117,-2764,-136,-668,344,8036,188,-248,-190,5.07,391,1984,1.8
-852,4922,17958,1375,-2986,-14,3318,204,3590,1582,-1709,470,-1496,460,7262,264,-307,-71,5.07,396,2008,1.8
