AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-6138,638,17442,5723,-12377,-1079,-6116,-3906,2628,-1416,-8169,354,-1742,-792,7658,-52,657,158,5.08,347,1764,0.0
-4586,-820,15460,4738,-11381,1463,-4508,314,558,-1039,-10729,-1142,66,-3400,5678,-260,780,447,5.07,396,2008,0.1
-3456,-1646,13902,4178,-11104,3315,-5396,320,-544,-1894,-12812,-2977,1206,-3550,5854,-256,838,280,5.07,396,2008,0.1
-2962,-1286,12682,3256,-7942,5504,-4620,-654,-1184,-1817,-11536,-3509,1214,-2372,4030,142,877,-520,5.06,464,2351,0.1
-2680,-1220,11948,1528,-6754,5562,-3996,114,-3050,-450,-12554,-4493,930,-1892,3824,450,847,-869,5.07,396,2008,0.2
-2082,-402,11318,379,-5488,5546,-2576,638,-5906,1007,-13546,-4623,868,-2014,3420,726,709,-1020,5.06,411,2079,0.2
676,1038,8382,-84,-3609,5226,2450,2510,-11522,2682,-12985,-4343,1014,-1232,3142,921,521,-944,5.07,396,2008,0.3
1544,1360,6894,273,-3009,4813,3700,1858,-13674,1378,-11636,-4534,552,-390,4242,974,167,-644,5.07,406,2058,0.3
3134,2668,5554,158,-1998,4051,7490,4038,-11322,1267,-11157,-4616,450,736,5174,1098,-225,-315,5.06,396,2005,0.3
5502,2736,844,-877,1217,2228,8388,-1050,-7388,6474,-8780,-1843,464,2288,7002,1537,-1077,196,5.07,391,1984,0.4
6476,2336,-1768,-1733,2953,1634,9436,2616,-4250,5778,-6507,-196,-564,2436,7188,1746,-1174,389,5.06,406,2054,0.4
5580,3146,-2400,-3003,5942,391,12052,-1454,1206,3608,-4604,-2244,-2348,2266,8592,1865,-1058,584,5.07,401,2033,0.4
4800,8236,-4982,-8332,8922,-1635,7050,-2698,4652,3720,-2815,-1202,-4552,892,10848,1860,-783,697,5.07,396,2008,0.5
3632,10854,-5026,-9773,10219,-1162,6520,-2626,2752,3331,-3569,-3,-4992,-352,10994,1670,-507,597,5.06,401,2029,0.5
