AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-248,246,1136,831,6024,-1086,-3678,-9264,5346,7707,-5637,-131,-246,200,2224,-1081,632,-976,5.08,347,1764,0.0
-236,1252,3494,2451,6155,-996,-3774,-5476,4428,8034,-5874,-1660,68,760,1146,-1217,40,-71,5.07,396,2008,0.1
-742,1730,6166,2587,6120,-1070,-2442,-1402,3132,6527,-5021,-1915,-348,1562,-102,-1326,-55,738,5.07,396,2008,0.1
-462,3790,12756,830,5269,-1134,-2798,1332,3808,2438,-2922,-1155,322,2258,780,-1608,-681,1726,5.07,401,2033,0.1
-412,5036,17908,-847,4601,-1186,-3180,-596,1426,-200,-1327,-1715,2,2510,198,-1732,-872,2123,5.07,396,2008,0.2
-728,6676,18294,-1879,3736,-1074,-4090,-1700,-146,76,-1335,-1886,-578,2678,1560,-1809,-1044,2499,5.07,391,1984,0.2
-2898,12164,13700,-7076,3739,-194,-2190,424,-4742,2327,-1779,-1016,-3012,1500,3278,-1660,-1069,2543,5.07,391,1984,0.2
-7172,6956,15974,-8709,3988,-48,-1288,3054,-6830,2727,766,192,-5568,670,5506,-1366,-253,2431,5.06,411,2079,0.3
-12054,186,19342,-5430,3144,-515,1924,5204,-7786,2327,6464,1843,-5372,-740,8078,-1090,-100,2345,5.07,396,2008,0.3
-12024,3648,25346,-2817,-134,509,5578,5046,-12418,-684,5886,1694,248,-7174,22512,-955,-418,2422,5.07,396,2008,0.3
-11158,-1064,26180,-3827,187,502,4198,3342,-11250,-2358,1641,400,978,-7784,31504,-362,-7,2163,5.06,401,2029,0.4
-8314,-5576,24390,-1223,-576,532,4654,3198,-12336,-3144,-936,-1101,1734,-8630,16820,541,608,109,5.07,396,2008,0.4
-5954,342,19608,2868,-2285,-86,3960,858,-9120,-3014,318,-1705,-2242,-2604,11298,911,193,-928,5.07,396,2008,0.4
-6600,4092,17820,3003,-3271,18,2166,-1964,-5034,-2064,554,-1670,-3108,-378,5106,1264,879,-463,5.07,401,2033,0.5
-4810,5874,15914,1573,-4392,646,-1164,-3352,-1704,-595,602,333,-1512,-170,5400,1525,584,-67,5.07,391,1984,0.5
-3264,2496,11890,-762,-4406,227,-4794,-768,1920,855,1004,3281,674,-824,2354,1245,263,-559,5.07,401,2033,0.6
-3150,242,9466,-911,-4866,-154,-4748,-1594,1786,-979,2662,3278,1244,-1024,2238,927,-68,-908,5.06,406,2054,0.6
-2566,-796,4942,399,-6599,-209,1860,-6096,1834,-7325,5752,-2076,818,-768,-66,766,-29,-914,5.07,406,2058,0.6
-2374,-248,3958,824,-6960,-122,3708,-6448,2818,-9100,7844,-4020,894,-688,280,876,-223,-706,5.07,391,1984,0.6
-1850,2214,914,1032,-7065,30,3246,-2870,7812,-7835,6871,-4094,896,560,-338,1414,-617,-2,5.06,396,2005,0.7
-1432,2652,-448,403,-6815,912,470,-3850,12824,-6259,1226,-1372,1368,780,-1778,1731,-673,74,5.06,406,2054,0.7
-86,2576,-1724,-1603,-5498,533,2092,-13502,14146,-407,-5889,1563,104,1104,1398,2284,-1674,-436,5.07,396,2008,0.8
-510,1074,-2608,-2074,-5035,-10,2208,-13122,18400,399,-3875,2822,-3018,498,2176,2320,-1348,-998,5.06,401,2029,0.8
430,-444,-4244,-1184,-4009,559,1832,-13148,20094,408,939,2493,-6116,-1086,6576,1906,-414,-1525,5.07,396,2008,0.8
1348,-406,-5348,1013,-3397,510,1684,-13166,28354,1482,-654,1026,-7692,-6552,13900,-471,1606,-911,5.07,401,2033,0.9
1442,928,-3440,1507,-2249,-8,3206,-10978,27222,1770,-3415,-1097,-1494,912,19258,-1739,1454,1243,5.07,386,1959,0.9
2720,-402,-3030,1709,-391,-122,6076,-11676,28822,306,289,1199,1614,3322,27756,-1780,-447,1336,5.06,396,2005,0.9
-354,498,-1856,2670,3243,-378,-1776,-9748,23686,-4912,-5196,-1719,-2844,2888,14478,-129,245,-1089,5.07,396,2008,1.0
-2602,6,-888,3226,4531,120,10492,-10818,10980,-6187,-521,-843,-2794,-274,11074,149,110,-1809,5.06,406,2054,1.0
-2624,826,-66,2651,5726,398,1654,-17666,13682,-2565,2206,603,-2050,-1852,8726,-138,519,-1623,5.07,396,2008,1.0
-1800,-330,446,1981,7149,-312,1858,-12076,8300,2174,213,515,-1370,-790,6238,-829,142,-796,5.07,391,1984,1.1
-2192,524,1398,1434,7789,-845,-2800,-7966,8960,2105,669,-707,-1264,-370,4758,-1134,167,-309,5.06,401,2029,1.1
-2696,1102,2216,953,8000,-1762,-1056,-8206,8158,6300,-4049,358,-914,672,2680,-1537,-42,339,5.07,386,1959,1.2
-2924,750,3292,2023,7751,-1792,-32,-5656,7316,7691,-4515,674,-534,1278,1450,-1654,-111,587,5.07,401,2033,1.2
-3722,2132,6146,2954,7261,-1662,96,-3194,7638,6514,-4622,-584,146,1932,1354,-1675,-326,1026,5.06,401,2029,1.2
-6458,3146,17126,3754,6637,-2428,-4332,-372,9060,5176,-3977,-1476,1208,1636,-610,-1600,-445,1163,5.07,396,2008,1.3
-4464,5146,18812,3289,3618,-1346,-2096,-1282,4730,2109,-3802,-1080,1490,1454,-194,-1469,-955,1128,5.07,396,2008,1.3
3008,9700,16760,1166,2859,-1147,-2862,-1686,3034,1239,-3030,-1278,1788,886,-466,-1350,-1013,896,5.06,411,2079,1.3
-2750,8602,14728,-4707,4034,-1476,-3580,-480,138,995,-1355,-1802,-602,510,1058,-1040,-1579,618,5.07,396,2008,1.4
-6408,8706,14710,-5002,2869,-217,-3866,-1266,-1680,1740,-666,-1935,-3634,640,2056,-684,-1407,698,5.06,406,2054,1.4
-8560,5904,16964,-3704,1746,27,-2510,-1484,-3164,2285,-36,-1659,-6318,568,5260,-240,-854,904,5.07,406,2058,1.4
-11972,4302,21916,-1300,1059,17,1544,780,-5904,5349,10833,494,-4824,-1474,11610,293,975,1096,5.07,396,2008,1.5
-12300,5082,23876,-1294,-484,868,1658,2998,-8314,5125,10022,2634,186,-7424,21314,-123,1056,2095,5.06,396,2005,1.5
-11564,2794,23572,-1286,-382,703,1502,2174,-10628,2698,2692,3175,734,-8804,26362,-535,948,3318,5.07,396,2008,1.5
-8866,3580,20670,454,-1855,-133,4584,4640,-9008,-860,-2430,1350,2436,-5546,18726,-252,-283,-674,5.07,401,2033,1.6
-7830,5372,18196,1264,-2607,-385,5008,1778,-7130,-2335,569,636,-2382,-2920,10456,26,112,-1042,5.06,396,2005,1.6
-7566,8256,17070,1721,-3526,57,2474,-1112,-3134,-3112,1577,-1170,-3688,-482,9608,431,277,-383,5.07,401,2033,1.6
-5022,8330,15256,-1249,-3744,553,-3280,-4544,1130,-1061,681,-669,-1916,66,4468,898,655,271,5.07,396,2008,1.7
-4736,5176,13920,-2205,-3195,237,-4844,-2722,1970,-127,-13,652,72,-300,3740,838,686,187,5.06,411,2079,1.7
-5056,1348,9434,-1445,-4943,221,-3486,-840,2246,-1818,1675,420,558,-708,1184,722,108,-199,5.07,396,2008,1.8
-4592,272,6988,-133,-6035,365,250,-1376,936,-4392,3763,-1419,696,-848,526,774,434,-458,5.06,420,2128,1.8
