AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-5542,3754,468,4493,-1094,1539,1018,-8494,-1678,-282,4817,-3601,-666,1024,6356,501,925,-4294,5.07,337,1711,0.0
-5808,4098,822,3525,-293,1231,1296,-8494,-1768,-123,5566,-3590,-950,934,6058,571,988,-4319,5.07,401,2033,0.1
-5920,4062,974,3193,-90,1201,1388,-8612,-1946,340,5408,-3642,-776,912,6296,613,999,-4376,5.06,396,2005,0.1
-6042,4142,900,2394,510,1102,1612,-8856,-1918,878,4445,-3930,-764,278,7126,689,1033,-4414,5.06,401,2029,0.1
-6396,4306,776,1662,962,924,1970,-9320,-1512,785,3817,-4117,-630,-634,8462,678,1122,-4406,5.06,406,2054,0.2
-8018,4800,1352,528,878,369,3058,-10572,-1026,-1011,3112,-4486,-768,-2474,9912,586,1061,-4481,5.06,396,2005,0.2
-8592,5138,2046,-301,789,47,3584,-12076,-1158,-2159,3143,-4790,-904,-3210,8650,467,1044,-4767,5.08,376,1913,0.2
-8080,5188,2556,-1418,1308,-211,3550,-13618,-1474,-2695,3857,-5052,-1190,-3190,7086,335,984,-5019,5.06,401,2029,0.3
-7806,4490,3376,-3094,1572,-315,3132,-16910,734,-2566,4754,-6144,-1398,268,6954,547,783,-5477,5.07,401,2033,0.3
-7510,3594,3224,-3153,1380,-341,2826,-18790,2212,-1837,3570,-7753,-1152,1112,7288,842,528,-5430,5.03,411,2067,0.3
-8408,2910,2850,-2574,1048,219,2690,-20040,2526,-695,2050,-9384,-1062,1528,7806,1026,414,-5038,5.06,396,2005,0.4
-9154,3640,1922,-1797,2110,767,862,-18428,3224,1605,582,-10796,-1184,776,8296,807,46,-3210,5.06,415,2104,0.4
-10540,6916,2964,-3900,2134,1098,-5322,-16496,2864,6781,-12382,-11979,-706,40,7652,547,21,-2324,5.07,396,2008,0.4
-8894,3144,5522,-3149,2000,-17,8462,-12180,406,771,5442,-12494,-138,-894,8764,364,-64,-1958,5.06,406,2054,0.5
-12196,-2020,11580,-609,778,314,112,-10684,1776,2191,3013,-11337,258,-2914,9040,45,-143,-2264,5.07,386,1959,0.5
-9192,-6288,5182,-59,318,-825,2430,-8164,1650,1420,1987,-12625,116,-3836,8834,-152,-158,-2513,5.06,401,2029,0.6
-6968,-394,2894,2341,882,-612,2120,-7544,1564,1471,1381,-12379,-156,-4172,8650,-317,-139,-2794,5.06,391,1980,0.6
-5880,3974,3432,3122,-1064,464,2360,-4058,1072,1863,546,-11381,-1020,-4210,7394,-402,-87,-3203,5.07,396,2008,0.6
