AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-8588,9222,7442,2317,-7905,6360,-6834,-2410,574,-10762,-962,-3884,-14,-2084,6504,-241,1474,4350,5.07,352,1785,0.0
-7070,10362,6616,3597,-7861,8329,-6776,-5396,900,-5989,-1349,-3466,-942,-1148,5844,-89,1555,4157,5.07,401,2033,0.1
-6436,9980,5458,3285,-7108,8390,-6298,-3456,1244,-3068,-561,-605,-1200,-1042,5500,54,1789,4154,5.07,401,2033,0.1
-5584,10204,4092,2148,-6081,9100,-4344,-1534,3636,475,1047,1806,-846,-1136,6010,170,2032,4324,5.07,401,2033,0.1
-5092,10050,3732,1375,-6285,9517,-6062,4406,10406,-512,-1468,1138,-864,-1214,5800,163,1966,4515,5.07,396,2008,0.2
-4340,10420,4650,654,-5714,9958,-4578,8086,9562,-2452,-2339,913,-1080,-1138,6028,151,1905,4664,5.06,401,2029,0.2
-4126,10432,4730,1217,-5505,11164,-6842,1484,7232,-4059,-1955,-858,-876,-1266,5898,217,1657,4751,5.07,396,2008,0.2
-3660,10200,4338,2239,-5343,11824,-6744,142,4738,-2844,-491,0,-538,-1480,5350,265,1651,4668,5.07,396,2008,0.3
-2892,9848,3294,2979,-5171,12491,-6476,-48,2580,-1666,718,1163,-294,-1878,5746,296,1579,4582,5.06,406,2054,0.3
-1326,10786,2192,3200,-4297,13510,-6482,552,342,-1727,2376,1809,-292,-2320,7220,234,1234,4521,5.07,401,2033,0.3
-254,11042,1798,3039,-3640,13978,-7042,596,-290,-2108,2099,1320,-916,-2222,6448,198,1222,4446,5.06,411,2079,0.4
536,10112,1012,3436,-3016,14448,-7152,616,-1170,-2823,2005,247,-1108,-2108,7538,199,1166,4345,5.06,406,2054,0.4
1308,9908,98,3506,-1977,15049,-7676,-662,-1900,-2689,2106,-6,-1172,-2228,7704,282,1108,4378,5.07,396,2008,0.5
2592,8866,-100,3431,-1180,14937,-7684,-780,-2722,-1482,805,279,-1542,-2276,7036,309,1435,4632,5.06,411,2079,0.5
3742,8478,-872,3645,-72,15217,-7590,-318,-2586,-1353,-1099,380,-1990,-2174,7160,261,1319,4944,5.07,401,2033,0.5
4236,6020,304,2456,1543,16480,-7150,-1144,-2424,-2017,-2597,419,-2508,-2134,6582,126,1441,5425,5.07,401,2033,0.6
5170,7356,282,2349,1476,14984,-7198,-1002,-1870,-3085,-2208,686,-2580,-2348,6946,39,1424,5735,5.06,411,2079,0.6
4576,6176,836,2434,239,14970,-7310,-190,-1350,-5526,-1731,574,-2272,-2728,6802,-226,1337,6308,5.07,401,2033,0.6
6178,6222,1828,1616,-242,14221,-7652,-660,-872,-6483,-1904,541,-2458,-3000,5774,-441,1435,6714,5.04,406,2046,0.7
4230,4918,3092,978,597,14576,-7420,-466,-1016,-7127,-1744,475,-2046,-3036,6114,-692,1197,7119,5.06,411,2079,0.7
