AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-1350,7286,5118,-3447,-2349,2499,832,-9156,8300,3957,4811,4917,-1178,-806,6840,-368,-586,-164,5.09,415,2116,0.0
132,5358,5724,-4080,-4713,2370,1460,-9108,8276,2496,4900,4535,-1750,-808,6314,-556,-436,-14,5.08,362,1838,0.1
1190,4294,6566,-3563,-3998,2255,1560,-9404,8308,1825,4922,4278,-1870,-794,6826,-649,-324,43,5.06,396,2005,0.1
1600,4084,6868,-1533,-2672,2046,1590,-9002,8012,923,4927,3958,-1638,-998,7336,-723,-111,60,5.06,455,2302,0.1
2174,4346,6906,-763,-3213,1613,1406,-8032,7668,465,4897,3978,-1426,-934,7698,-709,10,-7,5.08,352,1789,0.2
3028,4368,7330,79,-3210,1007,980,-7800,7788,-132,4675,3841,-1422,-1018,7918,-643,67,-92,5.06,376,1906,0.2
4118,5706,7410,997,-3419,386,466,-7688,8294,-1922,4066,3590,-1470,-1222,8052,-570,103,-114,5.04,464,2342,0.2
4482,7008,7090,1136,-3224,246,640,-8110,8218,-2415,3483,3343,-1200,-1260,7948,-553,93,-140,5.04,298,1504,0.3
4344,8756,6658,224,-2668,198,160,-7854,7984,-2463,2579,2973,-732,-1258,7496,-539,83,-274,5.08,288,1466,0.3
4276,8478,6692,-519,-2112,209,-46,-8050,8088,-2277,1915,2585,-754,-1446,7452,-570,-18,-316,5.08,445,2261,0.3
4086,7242,6908,-1262,-1537,-37,72,-7646,8052,-2424,1312,2301,-930,-1560,6874,-618,9,-287,5.08,420,2137,0.4
3834,5616,7058,-2119,-753,-445,706,-7954,7620,-3633,123,1492,-1048,-1396,7340,-724,-35,-255,5.07,406,2058,0.4
4312,4828,7038,-2524,-366,-734,850,-7650,7002,-4541,-317,1125,-1084,-1332,7274,-763,-33,-217,5.08,401,2037,0.4
4824,3594,6548,-3388,852,-1624,1682,-6272,6296,-7283,-896,444,-1066,-928,7424,-771,56,-137,5.08,342,1739,0.5
4576,2712,7248,-2406,754,-1475,2076,-5316,6968,-9495,-1238,127,-890,-494,7750,-730,47,-115,5.05,484,2445,0.5
5882,3340,7568,-848,389,-1066,2856,-5752,6662,-11060,-1443,-648,-640,-82,7926,-657,135,-84,5.07,484,2455,0.5
7222,9600,11090,305,-1211,604,3266,-8572,2822,-9741,-1473,-2250,-500,332,8092,-481,-22,131,5.05,415,2100,0.6
6998,11162,12790,-713,-1567,1250,3388,-9124,1556,-7732,-1132,-2838,-620,228,7424,-424,-46,365,5.07,420,2132,0.6
4530,6538,12148,-899,-2546,1781,3070,-9492,-170,-2651,-68,-3724,-552,-68,7044,-433,-243,728,5.07,367,1860,0.7
