AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-4168,2118,3686,-3250,-6887,2402,-442,-13460,7662,1518,142,2994,-982,-1160,7432,-141,-14,165,5.05,430,2174,0.0
-1158,256,1542,-3569,-7418,2264,670,-15298,9140,-2800,-1098,1414,-1120,-304,7090,-47,-100,312,5.06,269,1361,0.0
330,-1668,848,-3192,-7299,2046,1026,-18100,9016,-3317,-777,-288,-1016,16,6654,-19,-116,446,5.08,474,2410,0.1
2028,-2804,-406,-1180,-6802,1757,984,-17226,7498,-1012,-778,-1944,-546,-558,6484,-56,-133,514,5.04,430,2169,0.1
2074,-2224,-760,-883,-5784,1442,954,-15124,6050,-620,-1022,-2843,-270,-1682,6872,-127,-171,434,5.07,420,2132,0.2
800,-136,-504,-1331,-5510,926,1162,-13994,4822,-669,-1246,-3644,-250,-2644,7566,-204,-136,281,5.06,298,1510,0.2
-378,974,892,-1793,-4354,-108,938,-12782,4050,-239,-779,-4384,-504,-2878,8228,-265,-191,2,5.09,469,2390,0.2
-548,1200,1054,-1475,-3753,-267,556,-11986,3636,-40,-455,-4714,-950,-2016,7766,-246,-198,-83,5.05,298,1507,0.3
56,872,596,-332,-2208,-631,400,-10756,2996,193,-146,-5229,-1568,-1282,7246,-243,-164,-68,5.04,474,2391,0.3
536,356,392,1695,567,-1006,488,-8578,2476,817,317,-5410,-1750,-718,6668,-180,79,-79,5.06,440,2227,0.3
1060,278,734,2633,1745,-869,814,-8028,2438,1494,170,-5418,-1748,-716,6486,-136,259,-119,5.04,518,2613,0.4
1030,962,3028,3467,4297,-730,1152,-6480,2712,2134,-490,-5361,-1514,-1046,7398,-104,460,-195,5.05,479,2421,0.4
612,1422,4890,3465,5560,-970,1068,-4574,2518,1793,-756,-5307,-1328,-1054,7770,-123,446,-206,5.06,357,1807,0.5
-394,1202,8540,2402,8488,-1683,2158,-2414,1862,983,-730,-4380,-1252,-788,7946,-190,367,-112,5.06,283,1435,0.5
-1310,1334,10330,2273,9385,-1545,2796,-1418,1534,1044,-669,-3646,-1010,-728,7908,-206,314,-101,5.05,508,2569,0.5
-2726,2004,12802,2074,9034,-1292,3266,-928,936,1340,-832,-2994,-760,-790,7660,-229,211,-139,5.06,386,1955,0.6
-2046,4610,13108,2118,8433,-1311,2534,-628,582,2033,-410,-1381,-718,-1098,6760,-316,60,-258,5.04,376,1898,0.6
-2414,3764,13434,2020,9300,-2227,2742,-1132,396,2304,-293,-970,-886,-1100,6440,-360,-22,-340,5.07,332,1686,0.6
-3688,4450,12284,1565,10276,-3156,1328,-1578,812,2071,-206,-13,-938,-988,6276,-366,-16,-416,5.03,445,2239,0.7
-7980,2730,11730,-638,8450,-4191,1380,-350,398,1370,131,874,-1012,-252,6408,-250,-21,-483,5.06,323,1633,0.7
-9286,2462,12962,130,5722,-2683,1252,314,92,564,409,1692,-988,172,6614,-131,7,-451,5.07,298,1513,0.7
-10592,4578,14054,1409,401,-377,1060,-596,-122,-504,1529,3060,-810,700,7880,51,-10,-305,5.04,332,1676,0.8
-9006,6064,14270,962,-1412,-136,698,-1420,180,-970,1955,3556,-1030,812,8206,96,-76,-122,5.04,518,2613,0.8
-8446,6288,14542,392,-2947,62,290,-1970,528,-1348,2030,3882,-1358,988,8616,101,-122,76,5.08,425,2161,0.8
-7328,6362,14802,-387,-4463,550,116,-3118,976,-1843,2006,4665,-1866,290,8256,137,-201,193,5.08,450,2286,0.9
-6322,6222,14616,-844,-5216,628,18,-4034,1762,-2077,1819,4968,-2338,-144,7386,123,-105,257,5.07,269,1364,0.9
-5462,5788,13444,-1434,-3539,822,498,-5166,3176,-2818,1371,5339,-2348,-648,7054,59,186,352,5.08,464,2360,0.9
-4808,5136,12222,-1603,-2722,1184,358,-6022,3878,-3714,846,5569,-2018,-1006,7390,16,308,330,5.04,357,1800,1.0
-4766,4518,10668,-1867,-2504,1441,380,-7232,4338,-4685,359,5752,-1748,-1530,7958,-28,355,322,5.06,279,1411,1.0
-4502,3898,8980,-2212,-2985,1531,2110,-11300,5308,-3734,-468,4504,-726,-1824,8418,-92,131,366,5.07,352,1785,1.0
-4414,3556,8070,-2645,-3957,1311,2018,-13050,4408,-806,-228,3693,-934,-1080,7694,-4,-11,251,5.07,298,1513,1.1
-3152,2446,5944,-3108,-5222,991,1318,-11538,5504,4721,295,3736,-1272,-630,6732,337,-54,24,5.07,381,1934,1.1
-2876,1152,4732,-2977,-5815,1364,734,-12274,5852,5303,333,2860,-1484,-1130,6260,464,-49,-31,5.07,376,1909,1.1
-1714,226,3726,-2851,-6281,1365,160,-11516,7074,4246,-50,2217,-1528,-1508,6016,510,-17,42,5.07,298,1513,1.1
318,-1296,2336,-1819,-5870,1165,346,-12022,8482,-951,396,838,-1778,-1246,6348,496,95,140,5.07,362,1835,1.2
1190,-1580,1796,-1063,-5645,1066,832,-13982,8674,-2317,38,-621,-1688,-904,6894,514,144,188,5.05,445,2248,1.2
2126,-124,424,-415,-4626,668,1898,-15240,7662,-1601,-595,-1723,-1378,-610,7668,560,176,267,5.08,435,2211,1.3
2208,346,234,-451,-3888,46,2020,-14848,6368,-1130,-807,-1963,-984,-810,8136,554,141,271,5.07,499,2529,1.3
2054,550,970,-288,-2732,-421,2132,-14470,5438,-901,-884,-2373,-600,-1384,8702,508,37,200,5.07,430,2182,1.3
852,1504,1370,434,-1239,-1027,2040,-13046,4434,-351,-908,-3358,-370,-2190,8888,423,-241,-15,5.05,469,2371,1.4
778,1416,1518,808,-350,-1201,1822,-11862,4276,-229,-1048,-3727,-678,-1982,8164,417,-341,-187,5.04,508,2564,1.4
938,1694,1530,1389,1050,-1407,1428,-9760,3880,-314,-1066,-3737,-1288,-1674,7182,369,-325,-313,5.08,337,1714,1.5
260,1412,2560,2094,2946,-1326,802,-7624,2570,-892,-590,-3834,-2018,-1206,5956,203,-58,-366,5.08,450,2286,1.5
16,1320,3458,2130,3935,-1356,988,-7658,2382,-1198,-235,-3924,-2178,-910,5850,80,118,-377,5.04,518,2613,1.5
-1576,1770,5342,1743,5650,-1538,1192,-8640,2502,-552,93,-4313,-1730,-622,6618,-100,364,-324,5.08,435,2211,1.6
-2418,2430,6400,1530,6034,-1356,1060,-8072,2618,93,-177,-4304,-1216,-428,7360,-160,317,-268,5.05,367,1853,1.6
-2262,2902,6792,1266,6597,-910,842,-5928,2442,446,-192,-4199,-890,-442,7618,-176,211,-222,5.05,279,1408,1.6
-2652,3888,8450,489,7177,-331,1966,-1706,1514,-270,122,-3436,-592,-928,7192,-213,-7,-284,5.05,323,1630,1.7
-2722,3596,9406,29,7783,-204,2472,-840,1148,-403,431,-2624,-644,-1158,6646,-259,-61,-337,5.09,411,2091,1.7
-3662,2534,9974,-604,8393,-1099,2520,-1628,634,899,455,-1487,-374,-1000,6854,-366,-165,-344,5.06,367,1856,1.8
-5372,2486,10722,-643,8343,-1395,1850,-2128,830,1795,527,-664,2,-552,7764,-398,-254,-386,5.05,474,2396,1.8
-6760,1678,11286,-492,6707,-1435,1320,-2144,1132,2004,551,-106,30,16,8512,-367,-391,-424,5.05,323,1630,1.8
-8924,1704,13460,772,2723,-886,692,-2004,1404,1339,628,709,-562,444,8096,-184,-574,-484,5.06,367,1856,1.9
-9814,3014,14536,1003,537,-692,716,-1016,1088,757,842,1436,-1038,240,7082,-126,-553,-505,5.05,430,2174,1.9
-9840,4448,15870,782,-1910,-495,540,-552,436,-512,1567,2572,-1930,-24,5820,-33,-275,-643,5.05,323,1630,1.9
-9252,4600,16326,746,-2263,-253,374,-1532,272,-801,1948,3131,-2434,-298,5764,-10,-44,-666,5.04,357,1800,1.9
-9022,4524,16170,681,-2413,219,-6,-2240,446,-853,1860,3615,-2788,-278,5972,-32,278,-610,5.07,518,2628,2.0
-6748,4110,14928,599,-2919,1089,42,-3590,1620,-1207,1380,4336,-2124,458,7204,-24,697,-365,5.05,367,1853,2.0
-6132,3830,13842,497,-2802,1407,78,-5014,1892,-1359,1258,4689,-1748,910,7730,40,775,-229,5.04,508,2564,2.1
-4714,4786,11550,-692,-3213,1346,90,-7228,2770,-1336,926,4808,-1504,1090,7832,196,682,71,5.05,376,1902,2.1
-4176,4716,10000,-1512,-3414,1052,412,-8138,3506,-1342,679,4790,-1340,526,8112,235,599,241,5.06,293,1485,2.1
-3702,4522,8588,-2339,-3886,673,362,-9028,4094,-1242,528,4660,-1212,-318,8578,213,494,371,5.06,279,1411,2.1
-2868,3494,7164,-3273,-5076,430,812,-10596,5330,-539,89,4614,-1000,-1314,8898,146,264,490,5.08,406,2062,2.2
-2176,2816,6774,-3273,-5353,547,1484,-11622,6172,117,-326,4309,-884,-1218,8364,166,104,436,5.03,523,2633,2.2
-998,2280,5998,-3192,-4957,628,1920,-13828,7942,1646,-1002,3494,-1030,-1090,6986,273,-67,294,5.07,415,2108,2.3
-542,1176,4708,-2785,-4587,642,2112,-13456,7634,2374,-122,2784,-1062,-1100,6458,299,-138,268,5.01,386,1936,2.3
36,464,3416,-2225,-4364,752,468,-13312,8000,1996,611,2333,-1152,-1124,6050,313,-184,233,5.07,298,1513,2.3
1250,326,2194,-1762,-4181,851,-1118,-14386,9536,-1093,292,1661,-1474,-1134,5866,243,-149,317,5.05,332,1680,2.4
1850,446,1698,-1816,-3601,485,-1074,-15656,9456,-2523,-241,-111,-1456,-1018,6194,172,-109,403,5.05,484,2445,2.4
1694,96,1144,-1810,-2908,2,-990,-16402,9012,-2759,-773,-2314,-1382,-954,6430,104,11,423,5.08,332,1689,2.4
192,558,1550,-1537,-2428,-633,-946,-14612,7806,-1817,-1005,-5002,-826,-1720,8022,-10,60,379,5.07,415,2108,2.5
-488,442,1332,-1074,-2527,-804,-236,-12868,6586,-1669,-1156,-5721,-852,-1928,8680,-46,49,279,5.06,430,2178,2.5
-500,660,1354,-180,-1538,-1021,434,-11666,4948,-1658,-1092,-6330,-990,-1578,8828,29,-43,105,5.08,376,1913,2.5
-446,966,1334,566,-1124,-1077,764,-11362,4094,-1679,-1095,-6479,-1274,-1272,7680,81,-18,81,5.08,425,2161,2.6
110,876,1526,1309,-68,-899,960,-11896,3938,-1468,-1118,-7007,-1568,-1042,6798,111,87,88,5.08,337,1714,2.6
414,1876,2832,2058,2443,-1202,1236,-10522,2694,-2,-870,-7407,-1428,-870,6726,119,184,62,5.05,337,1704,2.6
