AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
7910,3890,6918,-2715,1007,915,7440,-684,-1260,4218,-4916,-4196,-1032,-1558,6306,186,297,-375,5.08,313,1590,0.0
8132,3386,4970,-2652,1671,1058,8866,248,-360,1330,-5096,-3698,-770,-122,6238,103,454,-481,5.06,342,1732,0.0
9286,2536,3760,-1385,2205,1188,9568,-2720,850,-846,-4369,-2969,-736,624,6772,111,494,-387,5.08,455,2310,0.1
7888,2094,1748,575,2495,1013,8768,-5720,2646,-248,-3999,-1372,-1058,1574,7092,261,462,-183,5.07,352,1785,0.1
7634,1534,2084,423,3052,556,7802,-5078,2380,1276,-1680,-716,-1098,1870,6984,405,502,-71,5.05,323,1630,0.1
6960,834,1414,106,4193,72,6170,-2612,2456,1875,-366,236,-788,1626,7262,613,558,102,5.08,474,2410,0.2
5396,1434,1616,-212,4215,-120,5792,-2614,2546,1436,-81,1013,-894,1286,7262,635,543,274,5.07,323,1637,0.2
4736,994,1622,-167,4972,-501,5124,-4046,3744,545,810,1617,-1334,844,7100,568,562,491,5.08,323,1640,0.2
2162,1650,3218,1013,5677,-705,4022,-7102,5292,989,1258,2155,-1434,516,6700,283,565,954,5.05,357,1803,0.3
1372,2654,4076,757,4949,-819,4308,-6280,5300,1087,1581,2753,-1424,652,6448,155,583,1106,5.06,362,1831,0.3
924,1730,4202,808,5052,-1106,5186,-7298,4712,605,1906,3266,-1266,1120,6092,157,702,1070,5.08,455,2310,0.4
550,1456,3304,784,5010,-1395,5286,-7584,5688,37,2230,3677,-1276,1182,6220,184,811,1060,5.06,327,1658,0.4
-484,2054,2536,1002,5259,-1493,6574,-8046,8266,-1364,2131,4131,-1014,506,6662,57,942,1241,5.09,474,2415,0.4
-586,1896,1382,420,5480,-1976,7582,-7926,8514,-950,1344,4095,-828,-742,7602,-93,654,1513,5.07,396,2008,0.5
-868,166,708,250,5412,-2386,8590,-7780,8048,-712,745,4047,-206,-984,8660,-264,480,1877,5.09,474,2415,0.5
-912,-434,1576,-112,3075,-1992,7664,-10736,6600,-1738,954,3878,2176,-1128,11546,-273,-452,1789,5.09,440,2240,0.6
-760,410,2870,-229,1373,-2098,8614,-10136,6302,-1801,981,3549,2974,-672,9030,12,-785,941,5.06,445,2252,0.6
948,1848,4598,-265,-422,-1807,8152,-7642,5306,-1430,1452,3060,878,-1596,6270,274,-950,-397,5.06,362,1831,0.6
2534,2014,5042,162,-1265,-1548,7898,-6264,4404,-1962,1590,3115,-484,-2212,5736,203,-808,-600,5.06,303,1534,0.7
4734,1856,4846,1094,-1264,-1208,8266,-5416,3310,-2836,1642,2844,-1230,-2814,6428,0,-619,-529,5.08,342,1739,0.7
6738,3258,3572,1504,-2932,-1037,9976,-6380,3950,-5421,1214,2831,-1268,-2586,8678,-416,-326,-318,5.09,459,2340,0.7
7524,4140,3716,358,-2732,-1679,9374,-7262,4726,-6650,1028,2837,-546,-1100,9386,-444,-208,-416,5.06,411,2079,0.8
7010,4484,4120,-699,-2607,-1960,9752,-8436,3272,-6527,1819,3054,88,220,8900,-249,-112,-739,5.08,420,2137,0.8
7588,2234,5052,1163,-1592,-1113,8500,-10438,1332,-4573,1829,2050,-880,42,7576,81,-66,-1364,5.08,503,2559,0.9
9740,2772,5036,1694,-1143,-857,9570,-9894,392,-2601,1230,1555,-1692,-172,7188,106,107,-1340,5.08,484,2460,0.9
9880,3886,9354,1046,-1590,-452,10376,-6752,-190,-116,2000,1532,-1768,-130,6772,-78,379,-673,5.06,288,1460,0.9
8880,3976,12242,812,-1543,-280,8916,-4500,-830,564,2606,1806,-1276,18,6802,-217,331,-85,5.07,381,1934,0.9
8604,2912,13600,2149,-1836,84,8214,-3080,-614,276,3282,2100,-1138,130,6626,-369,283,500,5.07,474,2405,1.0
8550,4986,13410,3552,-3257,856,4052,-4484,410,934,3873,1909,-656,-10,6506,-536,177,1101,5.08,440,2236,1.0
8166,5160,12044,3626,-3530,1172,4036,-5108,1542,1133,3120,1680,-466,-194,6710,-490,121,1051,5.05,376,1902,1.1
7356,5858,11216,3749,-3750,1373,2480,-5746,2846,1096,2213,804,-492,-758,6372,-380,316,831,5.07,391,1984,1.1
7386,5698,9192,3354,-3428,1517,1014,-5122,2060,737,2132,593,-678,-2136,6654,-324,442,348,5.07,523,2653,1.2
7030,6448,9726,3670,-3360,1918,792,-4326,1116,783,1678,-123,-902,-2418,6402,-358,567,175,5.07,518,2628,1.2
5996,7872,11970,3935,-3162,2591,666,-4352,-1128,1389,-144,-1294,-482,-2246,6424,-411,635,-178,5.08,479,2435,1.2
5196,8084,11240,2573,-2824,2585,354,-5142,-2672,1854,-604,-1817,-538,-1830,6246,-381,697,-408,5.06,239,1213,1.3
4718,6594,10188,923,-2582,2309,-118,-5852,-2350,2310,-1288,-2258,-584,-1248,6708,-277,683,-634,5.09,337,1718,1.3
3352,6224,9458,-849,-2437,1900,308,-5572,-1212,1499,-1739,-3055,-124,-500,8512,-27,592,-1145,5.05,406,2050,1.3
3476,7520,9884,-1811,-2321,1868,502,-5438,-2272,1183,-1446,-3047,368,114,9700,74,371,-1295,5.09,459,2340,1.4
3332,7076,9838,-3894,-2063,1301,1552,-6456,-2340,2256,-2253,-4238,846,1106,10516,243,-410,-1052,5.04,479,2416,1.4
2502,6374,9654,-3588,-1989,1161,2462,-5482,-2630,3417,-2630,-5186,1010,1656,10118,396,-856,-837,5.05,259,1309,1.4
2728,5748,8752,-2373,-2054,1419,2604,-3256,-2080,3171,-2094,-4134,750,1830,8746,568,-1166,-666,5.07,538,2728,1.5
5556,5458,6770,-1324,-1545,1840,4662,-216,-3624,1799,-1056,-1935,-310,1242,6730,617,-1389,-176,5.09,371,1892,1.5
6704,3650,6336,-1159,-889,1770,6622,-558,-3662,2802,-1711,-2967,-1318,1064,5880,518,-1339,203,5.09,430,2190,1.6
7474,3912,6026,-968,-504,1787,7502,1238,-4382,3208,-2301,-2771,-2190,700,6042,352,-1209,572,5.04,469,2367,1.6
7346,4382,7246,-979,64,1063,9000,920,-1442,2719,-2173,-2155,-2664,-162,6984,55,-632,1184,5.05,376,1902,1.6
8044,5342,6366,-1779,325,896,8528,-546,-8,1571,-2424,-1564,-2292,-452,7626,-50,-307,1367,5.07,518,2628,1.7
8806,4050,5014,-2196,901,585,9632,-3114,1386,2407,-3682,-2082,-1840,-418,7530,-88,-46,1331,5.09,357,1817,1.7
9372,3814,1598,-1811,2122,449,9860,-4752,3688,3822,-5196,-1281,-1080,-330,7354,46,286,696,5.09,499,2539,1.8
9134,3152,932,-1790,2923,89,9448,-5988,4498,3648,-5277,-1390,-818,-452,7452,133,450,304,5.05,518,2618,1.8
8152,2918,1356,-1577,4445,-413,6988,-6574,3252,2946,-4250,-590,-646,-206,7288,191,574,210,5.06,239,1213,1.8
7684,3758,2666,-1768,5154,-617,8306,-5222,2346,2626,-15,1694,-848,602,7270,220,504,238,5.05,332,1680,1.8
7058,3412,3824,-1792,5506,-662,8978,-2962,2074,1604,-5331,-502,-872,1144,7056,301,428,174,5.04,455,2293,1.9
4096,2434,4864,-1206,5806,-1033,5426,-5020,3834,-319,1082,2563,-1146,1364,6720,457,483,112,5.05,342,1729,1.9
2748,2904,4970,-639,5736,-1097,4566,-6262,3862,-1282,254,2485,-1298,1122,6748,466,546,262,5.08,464,2360,1.9
2328,2744,4336,-886,6269,-1420,5388,-8160,5432,-1718,1667,2560,-1120,1270,6268,335,542,627,5.05,323,1630,2.0
1122,1406,1718,-397,7745,-2136,5618,-8690,6616,-1537,2287,2447,-1096,1466,6160,255,415,741,5.06,455,2302,2.0
-1510,1322,1710,244,7895,-1921,6622,-8430,7858,-1871,2509,2676,-1018,1616,5826,179,383,944,5.06,406,2054,2.0
-2082,2050,390,214,7952,-1605,8238,-9960,8560,-1115,2914,2845,-816,1210,6116,50,382,1117,5.06,352,1782,2.1
-3550,1454,1064,-546,6572,-1580,7292,-9050,8424,-250,2367,2907,-610,752,6256,-88,305,1137,5.07,293,1488,2.1
-3424,1806,3306,-1346,3574,-1039,5744,-9602,7532,1547,1305,2042,-340,386,6206,-369,277,1139,5.08,464,2360,2.2
-2698,2020,3986,-1650,2540,-672,6484,-8546,6868,1834,1152,2019,-402,306,6560,-462,170,1084,5.05,391,1976,2.2
-1974,2182,4068,-1879,1629,-453,6846,-8166,6322,922,1084,1859,-300,272,6842,-520,90,1091,5.08,464,2360,2.2
70,1170,4254,-2452,332,-482,8078,-7616,6268,-1569,697,1995,968,482,8718,-512,-437,1374,5.05,308,1556,2.3
1476,-1228,3660,-2217,77,-841,8650,-6658,5150,-3340,717,2339,2158,198,10226,-433,-977,1516,5.05,381,1927,2.3
3648,-2176,1686,-471,-414,-1042,9452,-5928,1734,-5620,1260,2742,2236,-1416,11056,-260,-1705,1258,5.07,415,2108,2.3
