AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-1124,2080,4872,798,2402,-724,962,-7510,-788,-3928,-3229,-5048,-824,-3460,6454,-605,658,-1120,5.05,337,1704,0.0
-228,1960,7576,1558,2839,-586,2054,-7758,-3550,-1873,-2212,-4162,-534,-2304,7344,-230,587,-1695,5.05,327,1655,0.1
416,1884,8826,1846,2752,-551,1764,-6676,-5222,-49,-1523,-3710,-438,-1556,8184,34,375,-1875,5.06,474,2401,0.1
596,2792,10882,1510,2590,-390,1216,-5338,-5540,947,95,-3174,-1000,24,9766,346,60,-1797,5.08,435,2211,0.1
878,2624,10626,1258,2440,-352,1182,-3906,-3830,2155,374,-2933,-786,662,10506,466,-42,-1683,5.08,450,2286,0.2
2740,4574,10188,1423,2743,181,2090,-486,-606,503,1276,-2243,-928,1360,10648,752,-665,-1099,5.06,323,1633,0.2
2234,4536,13302,-202,2728,-197,2104,52,-288,-2171,1484,-2183,-1836,256,8202,693,-799,-735,5.07,494,2504,0.2
-134,5102,11540,241,2646,45,974,-4224,-2670,-3034,1943,-3223,-2286,62,5356,364,-673,-25,5.07,425,2157,0.3
-1464,5528,12150,913,2238,-184,1342,-4894,-2218,-848,3618,-2348,-2636,280,4540,322,-523,252,5.08,415,2112,0.3
-2250,6444,15300,-291,1193,-238,-630,-1198,-702,2459,6003,1389,-2616,-506,4290,249,-37,404,5.06,362,1831,0.4
-2392,7010,16776,-1354,516,29,234,114,-392,2094,5796,2226,-2226,-934,5490,160,205,361,5.04,523,2638,0.4
-2448,5630,16890,-1874,-30,98,762,-1004,-78,1471,5444,3215,-1936,-1006,6484,102,432,324,5.08,425,2161,0.4
-1568,2606,15334,-1237,-1219,-9,1012,-2826,76,1485,3011,5257,-1706,-418,8602,214,625,302,5.08,445,2261,0.5
-1704,2358,13892,-516,-2109,-128,1464,-3582,72,900,1061,4899,-1634,-118,9046,389,654,336,5.06,415,2104,0.5
-582,3146,11282,389,-3279,-366,950,-7158,-180,1830,373,5049,-1750,-74,8190,605,592,364,5.08,474,2410,0.6
180,3888,9894,597,-3906,-227,1386,-7814,-806,2484,294,5022,-1800,-150,7456,618,534,423,5.09,445,2265,0.6
412,4868,8680,294,-4061,83,1612,-8150,-1294,2276,584,5404,-1890,-122,6814,565,506,452,5.08,464,2360,0.6
1428,6050,7610,-1759,-3691,515,2150,-13598,-934,-1430,243,4297,-1948,-172,6234,449,463,453,5.05,327,1655,0.7
1438,3912,7594,-3118,-3130,441,2044,-17262,-1050,-1503,-96,2895,-2112,-218,6320,378,467,408,5.05,367,1853,0.7
544,48,7158,-2771,-3224,388,2396,-14662,-800,-2118,1192,2962,-2440,-24,6278,267,461,271,5.05,332,1680,0.7
1074,-680,4850,-1117,-3553,307,2410,-12072,136,-2904,1328,2990,-2942,140,6746,235,493,280,5.05,445,2248,0.8
1334,634,2918,-584,-3155,341,1278,-13172,-1450,-1434,1606,1613,-2986,-108,7352,149,500,461,5.06,367,1856,0.8
1924,1752,1256,-1387,-2233,237,-1124,-9886,-3792,478,362,1650,-1232,-992,7994,-238,392,776,5.08,464,2360,0.8
1838,720,882,-1341,-1630,141,-1792,-13308,-2570,-2942,-2677,321,-180,-1316,8608,-426,160,745,5.08,445,2261,0.9
1114,478,-678,272,-829,368,322,-19354,-1632,-2662,-4913,-4008,412,-1290,8888,-527,-358,584,5.05,371,1877,0.9
1148,978,-790,557,-327,337,-694,-18962,-3448,-2398,-3695,-6578,-576,-1434,8352,-540,-409,364,5.06,342,1732,0.9
1010,790,-630,422,660,156,30,-14244,704,-2340,-4727,-6103,-1098,-1924,7690,-593,-447,69,5.05,327,1655,1.0
16,1092,1508,261,1891,-89,900,-8760,-2480,-2952,-3728,-4242,-1208,-2612,6056,-734,-212,-398,5.07,396,2008,1.0
40,902,2216,147,2436,-224,1604,-7824,-2750,-2696,-3327,-4016,-1268,-2542,5720,-757,-137,-597,5.08,425,2161,1.0
60,1604,3450,428,3266,-144,1706,-7300,-3820,-1942,-2784,-3882,-1412,-2020,5620,-657,-67,-734,5.07,435,2207,1.1
-346,1994,6680,2090,3914,-347,1556,-5788,-5566,276,-1617,-3193,-1788,-716,6482,-306,40,-860,5.07,411,2083,1.1
-160,2130,8934,3414,3825,-420,2080,-5458,-5150,1157,-482,-2970,-2048,-226,7114,-85,107,-855,5.07,543,2752,1.1
952,2662,11894,4402,3616,-495,1092,-3574,-786,2476,365,-3211,-2430,-442,7772,150,101,-639,5.05,332,1680,1.2
418,5458,16762,3140,3216,-20,2130,-1738,-588,836,1001,-2408,-2764,-800,7744,115,128,-337,5.06,337,1708,1.2
1338,6320,14248,1927,2363,-189,1782,-1702,-260,-2110,1494,-2697,-2870,-1234,7796,20,139,40,5.05,313,1581,1.2
558,6026,12026,-291,3146,81,2644,-4826,-1426,-2493,1777,-3347,-2040,-884,7694,19,42,467,5.09,464,2365,1.3
1000,6622,11706,-326,3615,123,1876,-4528,-1078,-260,2886,-1668,-1616,-998,7266,115,40,548,5.06,337,1708,1.3
-1294,7516,13270,590,2859,512,1608,-2334,170,2162,4370,867,-1004,-1718,6502,140,22,537,5.09,494,2514,1.4
-2768,5966,16402,266,2026,569,1778,-2184,894,2683,4632,1568,-798,-2022,6392,107,-17,434,5.05,518,2618,1.4
-3154,7674,18042,-52,627,694,902,-2360,612,2756,3606,2355,-860,-2198,6118,105,18,259,5.07,362,1835,1.4
