AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-7850,4570,-686,8107,-1327,1030,-5638,1358,-8462,1984,4709,2437,-1300,1244,7466,573,-303,-5796,5.06,259,1312,0.0
-7930,4066,-562,6877,-1670,996,-5736,-4644,-11268,717,5524,-309,-1424,1648,7058,648,-243,-5544,5.08,411,2087,0.1
-8010,4820,-172,6035,-1884,1021,-5668,-5948,-12310,3202,6611,716,-1468,1854,6910,650,-153,-5244,5.04,323,1627,0.1
-8020,3494,386,3373,-1578,282,-3818,-2176,-13660,5360,8269,3378,-1566,2136,6744,526,-6,-4503,5.07,362,1835,0.1
-7812,3024,966,2934,-1386,136,-5634,196,-16306,7222,9083,2798,-1548,2222,6620,422,106,-4012,5.06,342,1732,0.1
-7746,2740,1384,2627,-1176,-103,-7104,1408,-16770,6203,10323,3383,-1554,2524,6314,292,210,-3438,5.08,538,2733,0.2
-6262,1688,108,3742,-1256,-561,-7802,-1644,-15606,6305,12038,3624,-1700,2172,6132,55,411,-2495,5.07,415,2108,0.2
-5580,1706,-504,4801,-1350,-827,-6120,-3766,-15686,6894,13033,3530,-1430,1642,6574,-2,469,-2175,5.08,254,1292,0.3
-5260,2222,-824,5729,-1025,-1153,-5638,-2472,-15418,6352,12708,2542,-598,1032,7096,58,539,-2158,5.07,464,2356,0.3
-5726,3850,968,5571,-478,-1480,-4304,-484,-14212,2262,12899,921,1280,132,7330,330,403,-2963,5.04,435,2194,0.3
-6418,3842,2192,4704,-309,-1577,-4620,-1414,-13008,-152,12793,-658,1850,-358,7602,578,142,-3551,5.04,538,2712,0.4
-6992,3668,3180,3837,-194,-1545,-3728,-3880,-12108,-1317,13093,-1926,946,-1574,7482,774,102,-3799,5.07,420,2132,0.4
-13042,4478,7464,2803,-522,-825,-3064,-5656,-13448,778,13396,-2797,-1678,-5054,8654,534,181,-3868,5.07,362,1835,0.5
-11560,4534,5260,1911,-1235,-98,-3838,-4776,-13410,1317,13219,-3880,-822,-4998,8254,450,211,-4412,5.08,367,1863,0.5
-9744,4456,302,176,1077,-173,-2768,-4256,-14064,1048,13918,-4654,-946,-3356,7240,610,303,-5106,5.05,489,2470,0.5
-10384,2184,-1690,1068,-1241,147,-2636,-7962,-14172,530,14448,-6907,-3172,-90,8668,805,520,-5681,5.08,455,2310,0.6
-9246,2158,-1512,2891,-2099,940,-3096,-7120,-13122,1800,14575,-7577,-3050,546,9014,741,482,-5330,5.07,484,2455,0.6
-9054,3038,-900,3625,-1746,1558,-2062,-4516,-12558,1745,14239,-8163,-2756,126,8240,653,298,-4819,5.07,415,2108,0.6
-8044,2172,-1094,4452,-1673,2099,-1762,-3226,-8896,1847,13843,-8085,-1416,-1844,7400,382,121,-4634,5.05,303,1531,0.7
-7404,2236,-1428,4467,-1754,2029,-1536,-2486,-6510,2171,13329,-7674,-1206,-2256,7774,258,91,-4775,5.06,430,2178,0.7
-6994,2306,-1506,4543,-1571,1921,-1566,-2638,-4254,2062,12943,-7360,-1024,-2108,7944,200,6,-4867,5.06,298,1510,0.7
-6382,2626,-1692,5136,-2096,1665,-2764,-2472,-2256,2419,12109,-7635,-1062,-2004,7930,50,-164,-5065,5.07,303,1537,0.8
-6236,2826,-1552,5421,-2206,1635,-3074,548,-2114,4127,10775,-7715,-1634,-2124,7244,-85,-188,-5271,5.07,259,1314,0.8
-6288,3048,-1322,5471,-2320,1497,8126,1042,-2284,4634,12479,-4257,-1628,-2326,7062,-166,-64,-5447,5.02,298,1498,0.8
-6550,3128,-956,4712,-2134,925,-1412,7202,292,-423,12324,-4361,-1534,-1946,6876,-192,-135,-5755,5.08,430,2186,0.9
-6684,3188,-952,4199,-2010,628,-1352,12768,2036,-4027,9317,-4487,-1836,-1642,6746,-119,62,-5853,5.07,459,2331,0.9
-6942,2920,-1234,3779,-1984,362,-1286,11832,3706,-7361,6559,-3160,-2022,-1096,6592,-5,45,-5757,5.06,367,1856,0.9
-6982,2604,-1558,3747,-2424,-77,-1642,7800,5014,-10429,4223,34,-2138,118,5972,156,128,-5262,5.05,303,1531,1.0
-7084,2588,-1654,3876,-2519,-264,-2390,6308,6238,-10947,2949,539,-2012,764,6026,257,54,-4883,5.07,371,1885,1.0
-7056,2620,-1482,3985,-2368,-556,-2544,5624,7512,-10798,2407,1645,-1684,1148,6330,366,-14,-4472,5.04,508,2564,1.0
-7212,2778,-1336,4144,-1909,-1092,-3300,7510,4528,-10926,-4576,2593,-1320,768,7110,644,-128,-3744,5.08,381,1938,1.1
-7286,2802,-1276,4310,-1758,-1297,-3618,8558,1216,-13111,-7102,2380,-808,236,7130,759,-234,-3494,5.05,459,2322,1.1
-7216,2926,-1282,4449,-1672,-1462,-4832,4706,-536,-15405,-9269,2167,-812,-88,7554,847,-342,-3354,5.09,313,1593,1.1
-6948,3188,-1162,4479,-1481,-1672,-5668,634,-2556,-15599,-12692,1487,-572,-178,7516,881,-412,-3296,5.07,376,1909,1.2
