AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
3332,-486,938,911,-346,4925,-6698,-1494,-4194,-2592,-742,-229,-1106,-1034,7010,-236,408,3200,5.09,440,2240,0.0
3976,-132,2194,1332,-574,4411,-6716,-1246,-3912,-2773,-672,-278,-728,-1186,7278,-49,417,2739,5.05,327,1655,0.1
4140,-194,1926,1093,-298,3627,-6776,-1746,-3802,-2984,-790,-346,-984,-1486,6532,1,498,2532,5.05,357,1803,0.1
3862,-586,2288,789,-234,2855,-6950,-1704,-3732,-3008,-585,-294,-1376,-2016,6492,-75,601,2386,5.05,318,1606,0.1
4286,-1040,3574,701,-375,2517,-6824,-1964,-3650,-3050,-468,73,-1400,-2088,6204,-220,659,2415,5.09,406,2066,0.1
4730,-660,4838,1029,-656,2319,-7362,-2188,-3772,-1218,9,912,-1172,-1864,6536,-300,728,2334,5.08,362,1838,0.2
4436,-224,6168,1143,-935,2052,-7516,-1714,-3748,-3449,-493,24,-510,-1364,7106,-293,738,1956,5.09,450,2290,0.2
4582,-912,6822,1137,-1237,1819,-6944,-2014,-3578,-3652,-547,38,-740,-1550,7698,-278,719,1757,5.06,337,1708,0.2
5332,-1368,6648,1386,-1835,1215,-8534,-2996,-3282,-260,515,1459,308,-418,9238,-312,521,1738,5.07,415,2108,0.3
5508,-596,6694,1558,-2226,955,-7090,-852,-3446,-1884,-1,2420,512,920,9384,-245,196,1787,5.06,508,2574,0.3
5434,-576,7368,1186,-2662,1043,-8648,-38,-3784,-2544,-825,901,-130,1594,7956,-177,243,1901,5.06,420,2128,0.4
6852,-1794,7604,426,-3296,1229,-6986,-2324,-3394,-3501,-848,-93,-1090,1200,6366,-156,154,2377,5.06,288,1460,0.4
7916,-1556,7020,-529,-3957,1371,-6366,-2666,-3068,-2892,-1097,606,-1370,972,5448,-222,376,2687,5.07,279,1413,0.4
8966,-1458,6488,-465,-4094,1884,-6416,-2028,-2882,-2336,-1537,634,-1508,666,6498,-324,438,2997,5.06,342,1732,0.4
9004,2,5330,-587,-5306,2839,-7210,-1634,-2646,-2345,-2051,389,-1330,790,7330,-498,543,3492,5.05,303,1531,0.5
9028,528,4368,-686,-6034,3536,-7580,-2014,-2284,-2327,-1225,-439,-944,1020,7906,-552,546,3624,5.06,455,2302,0.5
9882,-138,2880,-1457,-6501,5150,-8410,-1420,-2948,-946,-295,-221,-1028,1378,8014,-537,492,3740,5.08,474,2410,0.6
8652,-1002,1280,-1794,-6885,6101,-8740,-782,-3338,-492,-603,-61,-1448,1436,8338,-484,459,3838,5.08,455,2310,0.6
6954,-2086,336,-1927,-7439,6428,-8790,-28,-3442,-501,-1175,-208,-1696,1286,8386,-433,442,3956,5.06,308,1559,0.6
6206,-1192,-1548,-2260,-7522,7233,-8644,396,-3248,-1105,-914,-745,-1558,1186,8356,-471,259,4347,5.07,425,2157,0.7
5872,-2834,-2076,-2364,-7317,7218,-8698,390,-3130,-1630,-813,-883,-1846,1440,7898,-491,120,4593,5.06,499,2524,0.7
5056,-3634,-3158,-2721,-6976,6853,-8018,142,-2868,-2164,-739,-892,-1828,1608,7478,-423,55,4826,5.06,386,1955,0.7
3900,-7316,-4570,114,-6487,5944,-7176,-122,-2744,-2799,-608,-872,-2028,1500,7478,-197,39,4959,5.05,323,1630,0.8
3860,-8372,-5348,2640,-6101,5150,-6916,56,-2692,-2979,-614,-803,-2138,1216,6984,-67,70,5091,5.08,279,1416,0.8
3892,-9126,-5356,4861,-5625,4074,-6722,288,-2422,-3120,-737,-822,-2074,708,6758,-32,-6,5247,5.05,469,2371,0.8
3384,-11560,-4514,8265,-4722,1637,-6854,100,-2448,-3658,-208,-793,-1774,164,6232,-119,-91,5433,5.06,323,1633,0.9
2418,-9850,-2898,8470,-4260,-81,-7072,-140,-2662,-3946,160,-1005,-1776,-76,6378,-216,-152,5405,5.07,464,2356,0.9
1538,-8378,-1366,7320,-3971,-1979,-7036,-438,-2660,-4069,472,-995,-1872,-84,6776,-334,-159,5434,5.06,342,1732,0.9
1320,-8188,-1782,6022,-3923,-5245,-8048,-914,-2962,-3895,49,-638,-2100,412,7766,-530,-250,5644,5.08,489,2484,1.0
1410,-7564,-3104,6099,-4004,-6914,-8166,-518,-3126,-3857,47,-535,-2006,630,7894,-600,-338,5796,5.04,337,1701,1.0
1650,-6932,-4334,6495,-3901,-8282,-8542,-308,-3098,-4082,79,-741,-2076,434,7668,-649,-394,5892,5.07,396,2008,1.0
1078,-4962,-5394,7386,-3632,-10026,-9004,-358,-3130,-4410,17,-1059,-2062,-456,7428,-722,-446,5738,5.08,342,1739,1.1
998,-3392,-5872,7333,-2933,-10916,-9090,-358,-2938,-4541,-263,-1073,-2020,-714,7246,-741,-440,5533,5.05,518,2618,1.1
788,-848,-5928,6651,-2164,-11537,-8830,-610,-3064,-4418,-269,-1035,-2052,-978,7160,-778,-433,5301,5.06,396,2005,1.1
1316,706,-6244,4044,-265,-12368,-8404,-460,-2906,-4937,-138,-1194,-1632,-1252,7394,-851,-490,4870,5.08,318,1615,1.2
1350,890,-6222,3189,1134,-12802,-8034,-578,-2886,-5482,219,-1361,-1066,-1452,7110,-877,-532,4601,5.07,279,1413,1.2
748,890,-5800,2728,2570,-13151,-7958,-896,-2658,-5756,356,-1509,-682,-1294,7560,-872,-670,4279,5.05,425,2149,1.2
-476,1852,-5454,3474,4835,-13772,-7680,-1304,-2854,-5476,200,-1090,-1244,-1320,7352,-821,-711,3763,5.09,464,2365,1.3
-1274,2034,-5340,4340,5991,-14393,-7388,-1562,-2986,-5100,-156,-849,-1464,-1256,6770,-818,-625,3464,5.08,484,2460,1.3
-2566,1604,-5106,5531,6963,-15223,-7326,-1630,-2964,-4835,-232,-785,-1648,-976,6054,-831,-420,3137,5.06,327,1658,1.4
-6524,1340,-3856,9128,8140,-16929,-6718,-2650,-2960,-4252,-363,-454,-1618,-842,5470,-758,-101,2741,5.07,367,1860,1.4
